method,taxa,rtt
caml,AQUI1,1.151145
caml,THER2,1.116021
caml,CHLO1,1.20041
caml,PROE2,1.3648150000000001
caml,SPIR1,1.387864
caml,BACT1,1.4793219999999998
caml,BACT9,1.4860289999999998
caml,BACT18,1.3985889999999999
caml,BCHL1,1.353438
caml,FIBR1,1.385626
caml,CHLA1,1.4742229999999998
caml,CHLAV1,1.405698
caml,DEFE1,1.323544
caml,CHRY1,1.285239
caml,PROD2,1.292837
caml,PROA5,1.441389
caml,PROA12,1.472025
caml,PROA2,1.398755
caml,PROZ1,1.3777059999999999
caml,PROB10,1.383344
caml,PROB1,1.4097419999999998
caml,PROG1,1.450934
caml,PROG7,1.3986339999999997
caml,PROG15,1.4088819999999997
caml,MELA2,1.311464
caml,DEIN1,1.331538
caml,FIRM10,1.274654
caml,FIRM22,1.215995
caml,FIRM1,1.209121
caml,FIRM9,1.3406919999999998
caml,ACTI12,1.37175
caml,ACTI7,1.40986
caml,ACTI1,1.393885
caml,ThE09,1.350617
caml,Lmira,1.4122029999999999
caml,OLCB4,1.191672
caml,HAB125,1.402572
caml,HLC2,1.463962
caml,HLC3,1.4554999999999998
caml,TAB25,1.2730039999999998
caml,Apern,1.5229999999999997
caml,Hbuty,1.4163199999999998
caml,Ihosp,1.477078
caml,Smari,1.4348759999999998
caml,Fervi,1.4333139999999998
caml,Iaggr,1.4279629999999999
caml,Ssolf,1.371715
caml,Cmaqu,1.4944849999999998
caml,Paero,1.472966
caml,Tpend,1.385382
caml,CrenYNPFFA,1.363686
caml,Csymb,1.5451989999999998
caml,Nmari,1.5117129999999999
caml,Ngarg,1.4103379999999999
caml,Csubt,1.396204
caml,Kcryp,1.4193799999999999
caml,Mmaze,1.26954
caml,Mpalu,1.2758099999999999
caml,Mhung,1.337293
caml,Hmari,1.399048
caml,Hvolc,1.394657
caml,Afulg,1.168043
caml,Thvol,1.438707
caml,Aboon,1.235403
caml,Mlumi,1.263288
caml,TpN05,1.284037
caml,UnEury2,1.460679
caml,Pfuri,1.1032019999999998
caml,Tkoda,1.1171
caml,Mjann,1.123341
caml,Mkand,1.181481
caml,Mtherm,1.125449
