method,taxa,rtt
castles_pro,Mmaze,1.6962
castles_pro,Mpalu,1.664302
castles_pro,Mhung,1.644197
castles_pro,Hmari,1.7920179999999999
castles_pro,Hvolc,1.761191
castles_pro,Afulg,1.508492
castles_pro,Thvol,1.7873120000000002
castles_pro,Aboon,1.5877380000000003
castles_pro,Mlumi,1.5675130000000002
castles_pro,TpN05,1.5884050000000003
castles_pro,UnEury2,1.8112150000000002
castles_pro,Pfuri,1.369109
castles_pro,Tkoda,1.364368
castles_pro,Mjann,1.383183
castles_pro,Mkand,1.361699
castles_pro,Mtherm,1.3644020000000001
castles_pro,Apern,1.6035770000000003
castles_pro,Hbuty,1.5986910000000003
castles_pro,Ihosp,1.5535960000000002
castles_pro,Smari,1.4911670000000001
castles_pro,Fervi,1.519335
castles_pro,Iaggr,1.508661
castles_pro,Ssolf,1.503403
castles_pro,Cmaqu,1.701975
castles_pro,Paero,1.6773820000000002
castles_pro,Tpend,1.505841
castles_pro,CrenYNPFFA,1.5897700000000001
castles_pro,Csymb,1.784836
castles_pro,Nmari,1.738817
castles_pro,Ngarg,1.562311
castles_pro,Csubt,1.576073
castles_pro,Kcryp,1.7681719999999999
castles_pro,ThE09,1.569426
castles_pro,Lmira,1.965017
castles_pro,OLCB4,1.62373
castles_pro,TAB25,1.772891
castles_pro,HLC3,2.005134
castles_pro,HLC2,2.4054469999999997
castles_pro,HAB125,1.9557149999999996
castles_pro,PROG7,1.647049
castles_pro,PROG15,1.663699
castles_pro,PROG1,1.662693
castles_pro,PROB10,1.5257
castles_pro,PROB1,1.571101
castles_pro,PROA5,1.778554
castles_pro,PROA12,1.824547
castles_pro,PROA2,1.706189
castles_pro,PROZ1,1.715976
castles_pro,DEFE1,1.703315
castles_pro,CHRY1,1.6519609999999998
castles_pro,PROD2,1.601925
castles_pro,BACT1,1.804149
castles_pro,BACT9,1.804223
castles_pro,BACT18,1.674401
castles_pro,BCHL1,1.69923
castles_pro,FIBR1,1.602576
castles_pro,CHLA1,1.689507
castles_pro,CHLAV1,1.6578220000000001
castles_pro,PROE2,1.826805
castles_pro,SPIR1,1.731517
castles_pro,FIRM10,1.4824199999999998
castles_pro,FIRM22,1.4456989999999998
castles_pro,FIRM1,1.405591
castles_pro,FIRM9,1.563384
castles_pro,ACTI12,1.630987
castles_pro,ACTI7,1.6752509999999998
castles_pro,ACTI1,1.661604
castles_pro,DEIN1,1.7420299999999997
castles_pro,MELA2,1.6241499999999998
castles_pro,CHLO1,1.455597
castles_pro,AQUI1,1.317754
castles_pro,THER2,1.297583
