method,taxa,rtt
caml,259564,0.838896
caml,679901,0.874435
caml,192952,0.848409
caml,349307,0.8866719999999999
caml,1110509,0.910391
caml,1041930,0.90566
caml,304371,0.901965
caml,351160,0.877907
caml,937775,0.9734909999999999
caml,368407,0.9357369999999999
caml,521011,0.917219
caml,323259,0.9654499999999999
caml,410358,0.919262
caml,348780,1.117556
caml,416348,1.1386399999999999
caml,469382,1.089607
caml,547559,1.0910499999999999
caml,797209,1.1160869999999998
caml,519442,1.053052
caml,589924,0.764257
caml,572546,0.782591
caml,224325,0.830583
caml,693661,0.794631
caml,274854,1.151632
caml,187420,0.819152
caml,868132,0.819157
caml,420247,0.8883939999999999
caml,339860,0.896403
caml,523846,0.7410789999999999
caml,243232,0.709065
caml,579137,0.730378
caml,419665,0.8551329999999999
caml,406327,0.8999459999999999
caml,880724,0.7102979999999999
caml,190192,0.769671
caml,889962,1.116531
caml,889948,1.102782
caml,1072681,1.140793
caml,662762,1.1473449999999998
caml,662760,1.236707
caml,273116,0.9903169999999999
caml,273075,1.0172889999999999
caml,263820,0.997387
caml,333146,1.039421
caml,439481,0.7499629999999999
caml,425595,1.10865
caml,272844,0.634569
caml,529709,0.627023
caml,391623,0.658714
caml,523849,0.667471
caml,593117,0.6345390000000001
caml,228908,1.0113569999999998
caml,694429,0.8984500000000001
caml,415426,0.900995
caml,272557,0.980894
caml,666510,1.004551
caml,583356,0.908166
caml,453591,0.9141180000000001
caml,633148,0.992438
caml,490899,0.972103
caml,591019,0.89348
caml,399549,1.0239150000000001
caml,671065,1.0323600000000002
caml,933801,0.9453250000000002
caml,273057,0.9800010000000001
caml,330779,1.023894
caml,273063,0.9705510000000002
caml,178306,1.009616
caml,340102,1.030066
caml,384616,0.9995350000000001
caml,768679,0.947209
caml,572478,0.917494
caml,397948,0.9903660000000001
caml,368408,0.871912
caml,374847,0.8798440000000001
caml,311458,0.816524
caml,414004,0.917424
caml,859350,0.892956
caml,436308,0.897237
caml,886738,0.896671
caml,1001994,0.898639
caml,515635,0.610845
caml,891968,0.6845
caml,126740,0.678296
caml,526227,0.907117
caml,1133849,0.9569399999999999
caml,525904,0.8001469999999999
caml,137722,0.96068
caml,349521,0.939109
caml,266265,0.9880490000000001
caml,1162668,0.979434
caml,671143,0.835863
caml,768670,0.8821460000000001
caml,653733,0.887403
caml,706587,0.8787800000000001
caml,667014,0.7891360000000001
caml,123214,0.838126
caml,452637,0.910607
caml,471821,0.9247150000000001
caml,756272,0.961506
caml,768706,0.780046
caml,234267,0.806295
caml,179408,0.79504
caml,572480,0.907413
caml,552811,0.769323
caml,290317,0.81836
caml,573825,0.861913
caml,526218,0.763126
