method,taxa,rtt
caml,Struthio camelus,0.12488099999999999
caml,Casuarius casuarius,0.11489799999999999
caml,Dromaius novaehollandiae,0.11928899999999999
caml,Apteryx haastii,0.106752
caml,Apteryx owenii,0.10685
caml,Apteryx australis,0.10759
caml,Apteryx rowi,0.107089
caml,Rhea americana,0.15317
caml,Rhea pennata,0.153284
caml,Eudromia elegans,0.23991200000000001
caml,Nothoprocta perdicaria,0.2387
caml,Nothoprocta ornata,0.236922
caml,Nothoprocta pentlandii,0.236929
caml,Nothocercus julius,0.211373
caml,Nothocercus nigrocapillus,0.21149500000000002
caml,Tinamus guttatus,0.21871200000000002
caml,Crypturellus soui,0.228421
caml,Crypturellus cinnamomeus,0.22672
caml,Crypturellus undulatus,0.22608
caml,Phoenicopterus ruber,0.139504
caml,Podiceps cristatus,0.17021899999999998
caml,Podilymbus podiceps,0.176998
caml,Acanthisitta chloris,0.232304
caml,Cnemophilus loriae,0.25063100000000005
caml,Melanocharis versteri,0.25265400000000005
caml,Promerops cafer,0.264531
caml,Dicaeum eximium,0.27546200000000004
caml,Leptocoma aspasia,0.267755
caml,Chloropsis cyanopogon,0.27310100000000004
caml,Chloropsis hardwickii,0.27695100000000006
caml,Irena cyanogastra,0.277208
caml,Peucedramus taeniatus,0.27369400000000005
caml,Prunella fulvescens,0.277496
caml,Prunella himalayana,0.27518000000000004
caml,Passer domesticus,0.28514
caml,Hypocryptadius cinnamomeus,0.27620700000000004
caml,Motacilla alba,0.283399
caml,Chlorodrepanis virens,0.286424
caml,Hemignathus wilsoni,0.286068
caml,Serinus canaria,0.291169
caml,Loxia curvirostra,0.290648
caml,Loxia leucoptera,0.29042
caml,Rhodinocichla rosea,0.28253100000000003
caml,Calcarius ornatus,0.289237
caml,Emberiza fucata,0.291229
caml,Pheucticus melanocephalus,0.28867
caml,Cardinalis cardinalis,0.291673
caml,Passerina amoena,0.290011
caml,Nesospiza acunhae,0.290619
caml,Geospiza fortis,0.288312
caml,Sporophila hypoxantha,0.287998
caml,Spizella passerina,0.29352000000000006
caml,Melospiza melodia,0.294721
caml,Junco hyemalis,0.295254
caml,Zonotrichia albicollis,0.29594600000000004
caml,Setophaga coronata,0.29515900000000006
caml,Setophaga kirtlandii,0.29613200000000006
caml,Agelaius phoeniceus,0.287601
caml,Molothrus ater,0.28870700000000005
caml,Quiscalus mexicanus,0.28908700000000004
caml,Urocynchramus pylzowi,0.27544900000000005
caml,Ploceus nigricollis,0.269741
caml,Vidua chalybeata,0.27762800000000004
caml,Vidua macroura,0.27715300000000004
caml,Lonchura striata,0.29114100000000004
caml,Taeniopygia guttata,0.28964700000000004
caml,Bombycilla garrulus,0.28426400000000007
caml,Phainopepla nitens,0.2766890000000001
caml,Regulus satrapa,0.29561500000000007
caml,Tichodroma muraria,0.2739560000000001
caml,Sitta europaea,0.28618600000000005
caml,Polioptila caerulea,0.282272
caml,Thryothorus ludovicianus,0.287436
caml,Certhia brachydactyla,0.283459
caml,Certhia familiaris,0.28348900000000005
caml,Elachura formosa,0.30665700000000007
caml,Buphagus erythrorhynchus,0.27358800000000005
caml,Toxostoma redivivum,0.28042500000000004
caml,Rhabdornis inornatus,0.276583
caml,Leucopsar rothschildi,0.28050800000000004
caml,Sturnus vulgaris,0.279949
caml,Cinclus mexicanus,0.29125500000000004
caml,Catharus fuscescens,0.28764700000000004
caml,Cercotrichas coryphaeus,0.28453700000000004
caml,Copsychus sechellarum,0.285967
caml,Erithacus rubecula,0.293806
caml,Ficedula albicollis,0.287193
caml,Oenanthe oenanthe,0.289783
caml,Saxicola maurus,0.288338
caml,Anthoscopus minutus,0.28729600000000005
caml,Poecile atricapillus,0.27879000000000004
caml,Parus major,0.28150200000000003
caml,Pseudopodoces humilis,0.27937700000000004
caml,Alaudala cheleensis,0.2849000000000001
caml,Panurus biarmicus,0.2790850000000001
caml,Nicator chloris,0.27475600000000006
caml,Sylvietta virens,0.27630200000000005
caml,Cisticola juncidis,0.2900970000000001
caml,Acrocephalus arundinaceus,0.27679100000000006
caml,Hippolais icterina,0.27888700000000005
caml,Locustella ochotensis,0.28259000000000006
caml,Oxylabes madagascariensis,0.27495100000000006
