method,taxa,rtt
castles,Crypturellus cinnamomeus,0.19519999999999998
castles,Crypturellus undulatus,0.19455399999999998
castles,Crypturellus soui,0.202395
castles,Tinamus guttatus,0.199264
castles,Nothocercus julius,0.19180100000000003
castles,Nothocercus nigrocapillus,0.19196200000000002
castles,Nothoprocta ornata,0.182581
castles,Nothoprocta pentlandii,0.182585
castles,Nothoprocta perdicaria,0.193464
castles,Eudromia elegans,0.22420400000000001
castles,Rhea americana,0.12476000000000001
castles,Rhea pennata,0.124892
castles,Apteryx haastii,0.08263399999999999
castles,Apteryx owenii,0.082728
castles,Apteryx australis,0.082467
castles,Apteryx rowi,0.082336
castles,Casuarius casuarius,0.087061
castles,Dromaius novaehollandiae,0.091483
castles,Struthio camelus,0.108681
castles,Molothrus ater,0.2574310000000001
castles,Quiscalus mexicanus,0.25775900000000007
castles,Agelaius phoeniceus,0.2558420000000001
castles,Setophaga coronata,0.2623930000000001
castles,Setophaga kirtlandii,0.2631910000000001
castles,Junco hyemalis,0.26078700000000016
castles,Zonotrichia albicollis,0.26162500000000016
castles,Melospiza melodia,0.26059700000000013
castles,Spizella passerina,0.2600580000000001
castles,Cardinalis cardinalis,0.2589520000000001
castles,Passerina amoena,0.25723100000000015
castles,Pheucticus melanocephalus,0.25556900000000016
castles,Geospiza fortis,0.25666700000000015
castles,Sporophila hypoxantha,0.2566350000000001
castles,Nesospiza acunhae,0.25742200000000015
castles,Calcarius ornatus,0.2554780000000001
castles,Emberiza fucata,0.25806800000000013
castles,Rhodinocichla rosea,0.2501910000000001
castles,Loxia curvirostra,0.2470340000000001
castles,Loxia leucoptera,0.2468040000000001
castles,Serinus canaria,0.2500970000000001
castles,Chlorodrepanis virens,0.2454110000000001
castles,Hemignathus wilsoni,0.2450720000000001
castles,Motacilla alba,0.2511950000000001
castles,Passer domesticus,0.2510460000000001
castles,Hypocryptadius cinnamomeus,0.2425830000000001
castles,Prunella fulvescens,0.2429740000000001
castles,Prunella himalayana,0.2409430000000001
castles,Vidua chalybeata,0.2412220000000001
castles,Vidua macroura,0.2407190000000001
castles,Lonchura striata,0.2476490000000001
castles,Taeniopygia guttata,0.2462310000000001
castles,Ploceus nigricollis,0.23615800000000012
castles,Urocynchramus pylzowi,0.24198400000000012
castles,Peucedramus taeniatus,0.2415420000000001
castles,Irena cyanogastra,0.24581200000000009
castles,Chloropsis cyanopogon,0.23744900000000008
castles,Chloropsis hardwickii,0.24164300000000008
castles,Dicaeum eximium,0.24002200000000007
castles,Leptocoma aspasia,0.23234400000000008
castles,Promerops cafer,0.23201800000000006
castles,Oenanthe oenanthe,0.24870500000000004
castles,Saxicola maurus,0.24732900000000005
castles,Ficedula albicollis,0.24747100000000005
castles,Erithacus rubecula,0.25472200000000006
castles,Cercotrichas coryphaeus,0.24343300000000007
castles,Copsychus sechellarum,0.24494000000000007
castles,Catharus fuscescens,0.25206000000000006
castles,Cinclus mexicanus,0.25548800000000005
castles,Leucopsar rothschildi,0.23904000000000006
castles,Sturnus vulgaris,0.23851100000000006
castles,Rhabdornis inornatus,0.24056700000000006
castles,Toxostoma redivivum,0.24478700000000006
castles,Buphagus erythrorhynchus,0.23679900000000006
castles,Elachura formosa,0.2725330000000001
castles,Polioptila caerulea,0.24589700000000012
castles,Thryothorus ludovicianus,0.2509570000000001
castles,Certhia brachydactyla,0.24570000000000008
castles,Certhia familiaris,0.2456820000000001
castles,Sitta europaea,0.2541000000000001
castles,Tichodroma muraria,0.2401330000000001
castles,Regulus satrapa,0.26190300000000005
castles,Bombycilla garrulus,0.24207400000000007
castles,Phainopepla nitens,0.23449000000000006
castles,Zosterops hypoxanthus,0.24229200000000004
castles,Zosterops lateralis,0.24204600000000004
castles,Sterrhoptilus dennistouni,0.24381800000000003
castles,Illadopsis cleaveri,0.24633100000000005
castles,Leiothrix lutea,0.24928500000000003
castles,Pomatorhinus ruficollis,0.24573700000000004
castles,Sylvia atricapilla,0.24274400000000004
castles,Sylvia borin,0.24021500000000004
castles,Sinosuthora webbiana,0.24495900000000004
castles,Brachypodius atriceps,0.24772400000000003
castles,Pycnonotus jocosus,0.24709300000000003
castles,Cettia cetti,0.249648
castles,Horornis vulcanius,0.247431
castles,Erythrocercus mccallii,0.24972700000000003
castles,Aegithalos caudatus,0.25342800000000004
castles,Hylia prasina,0.24835900000000005
castles,Phylloscopus trochilus,0.24120900000000006
castles,Rhadina sibilatrix,0.24019000000000004
castles,Hirundo rustica,0.25550700000000004
castles,Oxylabes madagascariensis,0.24089700000000006
castles,Donacobius atricapilla,0.25012200000000007
castles,Locustella ochotensis,0.24845100000000006
castles,Acrocephalus arundinaceus,0.23180400000000004
castles,Hippolais icterina,0.23375100000000004
castles,Cisticola juncidis,0.258373
castles,Sylvietta virens,0.24423400000000003
castles,Nicator chloris,0.24245900000000004
castles,Alaudala cheleensis,0.24930200000000002
castles,Panurus biarmicus,0.24366800000000005
castles,Parus major,0.23777600000000004
castles,Pseudopodoces humilis,0.23560200000000003
castles,Poecile atricapillus,0.23484300000000002
castles,Anthoscopus minutus,0.25172200000000006
castles,Chaetops frenatus,0.23741000000000007
castles,Picathartes gymnocephalus,0.23129400000000006
castles,Drymodes brunneopygia,0.23658600000000005
castles,Callaeas wilsoni,0.2229770000000001
castles,Notiomystis cincta,0.23548100000000008
castles,Melanocharis versteri,0.22209800000000005
castles,Cnemophilus loriae,0.22004300000000004
castles,Erpornis zantholeuca,0.23837000000000003
castles,Vireo altiloquus,0.23639600000000002
castles,Pteruthius melanotis,0.234323
castles,Oreocharis arfaki,0.23260400000000003
castles,Pachycephala philippinensis,0.22297300000000003
castles,Oriolus oriolus,0.226805
