method,taxa,rtt
caml,Persea americana,0.2143054562734308
caml,Liriodendron chinense,0.16824082869346135
caml,Tetracentron sinense,0.19161959142401197
caml,Trochodendron aralioides,0.1751418060976772
caml,Buxus sempervirens,0.2693127839110664
caml,Buxus sinica,0.24884009869314613
caml,Vitis vinifera,0.270268192116635
caml,Kalanchoe laxiflora,0.48775580972047344
caml,Kalanchoe fedtshenkoi,0.48814343465692817
caml,Amaranthus hypochondriacus,0.4864345460035879
caml,Mimulus guttatus,0.47346789583538074
caml,Coffea canephora,0.415910809963395
caml,Solanum lycopersicum,0.43778013827164347
caml,Glycine max,0.39911221356483906
caml,Betula pendula,0.3159622050612867
caml,Populus trichocarpa,0.34595078858284134
caml,Citrus sinensis,0.34676257967084484
caml,Carica papaya,0.3764049968632571
caml,Arabidopsis thaliana,0.5289960745260085
caml,Gunnera manicata,0.33774262581345105
caml,Nelumbo lutea,0.2308392426471299
caml,Nelumbo nucifera,0.22331307492383548
caml,Macadamia integrifolia,0.2647821551635027
caml,Grevillea robusta,0.31619693770269286
caml,Platanus occidentalis,0.19837601432543595
caml,Sabia swinhonei,0.22487376919348054
caml,Sabia emarginata,0.23740812943370576
caml,Meliosma cunefolia,0.24001042198540246
caml,Meliosma dillenifolia,0.24296778782927891
caml,Sanguinaria canadensis,0.21506510007569307
caml,Eschscholzia californica,0.291434495145372
caml,Papaver rhoeas,0.318516939071263
caml,Papaver somniferum,0.3098754506192931
caml,Aquilegia coerulea,0.2812055339731888
caml,Nandina domestica,0.2545069373634884
caml,Akebia trifoliata,0.20501034433007612
caml,Euptelea pleiosperma,0.18203786302006447
caml,Oryza sativa,0.3970036371583655
caml,Sorghum bicolor,0.39694476444753235
