method,taxa,rtt
castles_pro,Carica papaya,0.349991
castles_pro,Arabidopsis thaliana,0.548799
castles_pro,Citrus sinensis,0.35930100000000004
castles_pro,Populus trichocarpa,0.360012
castles_pro,Betula pendula,0.287115
castles_pro,Glycine max,0.40162600000000004
castles_pro,Solanum lycopersicum,0.41800000000000004
castles_pro,Coffea canephora,0.369642
castles_pro,Mimulus guttatus,0.45038500000000004
castles_pro,Amaranthus hypochondriacus,0.509464
castles_pro,Kalanchoe fedtshenkoi,0.5320370000000001
castles_pro,Kalanchoe laxiflora,0.532004
castles_pro,Vitis vinifera,0.248591
castles_pro,Gunnera manicata,0.28468800000000005
castles_pro,Buxus sempervirens,0.242131
castles_pro,Buxus sinica,0.221178
castles_pro,Trochodendron aralioides,0.16357899999999997
castles_pro,Tetracentron sinense,0.175086
castles_pro,Macadamia integrifolia,0.233566
castles_pro,Grevillea robusta,0.215374
castles_pro,Platanus occidentalis,0.14286300000000002
castles_pro,Nelumbo nucifera,0.187043
castles_pro,Nelumbo lutea,0.192445
castles_pro,Sabia emarginata,0.163052
castles_pro,Sabia swinhonei,0.16386099999999998
castles_pro,Meliosma dillenifolia,0.19078699999999998
castles_pro,Meliosma cunefolia,0.189555
castles_pro,Papaver rhoeas,0.238244
castles_pro,Papaver somniferum,0.23996800000000001
castles_pro,Eschscholzia californica,0.262535
castles_pro,Sanguinaria canadensis,0.16738
castles_pro,Aquilegia coerulea,0.284551
castles_pro,Nandina domestica,0.246051
castles_pro,Akebia trifoliata,0.191959
castles_pro,Euptelea pleiosperma,0.123495
castles_pro,Persea americana,0.21384699999999998
castles_pro,Liriodendron chinense,0.183492
castles_pro,Oryza sativa,0.43856
castles_pro,Sorghum bicolor,0.45006399999999996
