method,taxa,rtt
caml,ORN,0.238537
caml,MAC,0.1996680755678826
caml,MON,0.21264227906179534
caml,CHO,0.2224852609701617
caml,DAS,0.23174774504911116
caml,ECH,0.2919767379911534
caml,PRO,0.25863163678477463
caml,LOX,0.22415623631410275
caml,TUP,0.2572552546035489
caml,ORY,0.26756689547139284
caml,OCH,0.30516425781149337
caml,SPE,0.25393869643390077
caml,CAV,0.29644209359905427
caml,DIP,0.29414742917424586
caml,MUS,0.3319838230094278
caml,RAT,0.3389763694533096
caml,OTO,0.2512232448213867
caml,MIC,0.23051276304416018
caml,TAR,0.2430015659002619
caml,CAL,0.23392851938211728
caml,NEW,0.23340902495521745
caml,PON,0.2246588876832858
caml,GOR,0.22352503118310985
caml,HOM,0.22346322496862644
caml,PAN,0.22326057891898551
caml,SOR,0.3114722371393462
caml,ERI,0.29606507074173216
caml,MYO,0.25332388189765387
caml,PTE,0.23195851372390128
caml,EQU,0.22310583661182884
caml,CAN,0.24202627911834332
caml,FEL,0.23635475386487115
caml,VIC,0.2441662774080437
caml,SUS,0.25377839888879905
caml,TUR,0.23169944961056674
caml,BOS,0.25887638327659285
