method,taxa,rtt
castles_pro,MAC,0.16300900000000001
castles_pro,MON,0.177067
castles_pro,LOX,0.193584
castles_pro,PRO,0.22953500000000002
castles_pro,ECH,0.27096600000000004
castles_pro,DAS,0.221982
castles_pro,CHO,0.213795
castles_pro,TUR,0.23286
castles_pro,BOS,0.260378
castles_pro,SUS,0.253262
castles_pro,VIC,0.24321900000000002
castles_pro,FEL,0.229256
castles_pro,CAN,0.234947
castles_pro,EQU,0.222349
castles_pro,MYO,0.24508400000000002
castles_pro,PTE,0.22618600000000003
castles_pro,ERI,0.286906
castles_pro,SOR,0.30470800000000003
castles_pro,MUS,0.309252
castles_pro,RAT,0.31491800000000003
castles_pro,DIP,0.291173
castles_pro,CAV,0.298677
castles_pro,SPE,0.251594
castles_pro,ORY,0.255737
castles_pro,OCH,0.29180300000000003
castles_pro,TUP,0.254587
castles_pro,MIC,0.22020900000000004
castles_pro,OTO,0.24104800000000004
castles_pro,TAR,0.236773
castles_pro,CAL,0.21267300000000003
castles_pro,NEW,0.210937
castles_pro,PON,0.19981600000000002
castles_pro,GOR,0.19844000000000003
castles_pro,HOM,0.19948100000000002
castles_pro,PAN,0.19916000000000003
castles_pro,ORN,0.242596
