,Taxon,Branch Type,l1,l2,l1/l2,Gene trees
0,MAC,terminal,0.041846,0.05406012,0.774064139,original
1,MON,terminal,0.055904,0.067034323,0.833960833,original
2,  ,internal,0.082626,0.107070956,0.771693867,original
3,LOX,terminal,0.034909,0.036467914,0.95725245,original
4,PRO,terminal,0.07086,0.070943314,0.99882562,original
5,  ,internal,0.004544,0.011126334,0.408400477,original
6,ECH,terminal,0.116835,0.115414749,1.012305625,original
7,  ,internal,0.003359,0.021416829,0.15683928,original
8,DAS,terminal,0.049116,0.053308616,0.921352008,original
9,CHO,terminal,0.040929,0.044046131,0.929230301,original
10,  ,internal,0.022094,0.02329397,0.948485828,original
11,  ,internal,0.003021,0.002199347,1.373589797,original
12,TUR,terminal,0.025318,0.029305314,0.86393887,original
13,BOS,terminal,0.052836,0.056482248,0.935444357,original
14,  ,internal,0.008333,0.007124057,1.169698632,original
15,SUS,terminal,0.054053,0.058508321,0.923851503,original
16,  ,internal,0.005094,0.004035294,1.262361708,original
17,VIC,terminal,0.049104,0.052931493,0.927689689,original
18,  ,internal,0.019715,0.017701307,1.113759578,original
19,FEL,terminal,0.035671,0.04032391,0.884611626,original
20,CAN,terminal,0.041362,0.045995436,0.899263141,original
21,  ,internal,0.016728,0.020686097,0.808659071,original
22,EQU,terminal,0.045492,0.04776109,0.95249082,original
23,  ,internal,0.002457,0.001811268,1.356507925,original
24,  ,internal,0.000514,0.001032125,0.498001616,original
25,MYO,terminal,0.064276,0.068726743,0.935240018,original
26,PTE,terminal,0.045378,0.047361374,0.958122531,original
27,  ,internal,0.006922,0.012095787,0.572265392,original
28,  ,internal,0.003851,0.00280368,1.373552139,original
29,ERI,terminal,0.098976,0.108039753,0.916107237,original
30,SOR,terminal,0.116778,0.12344692,0.945977431,original
31,  ,internal,0.017895,0.018327644,0.976393905,original
32,  ,internal,0.012148,0.008979665,1.352834431,original
33,MUS,terminal,0.023264,0.036327993,0.640387704,original
34,RAT,terminal,0.02893,0.043320539,0.667812553,original
35,  ,internal,0.083393,0.097636542,0.854116688,original
36,DIP,terminal,0.088578,0.096128141,0.921457535,original
37,  ,internal,0.010336,0.009745676,1.060572897,original
38,CAV,terminal,0.106418,0.108168482,0.983817081,original
39,  ,internal,0.005142,0.002543068,2.021967163,original
40,SPE,terminal,0.064477,0.068208153,0.945297556,original
41,  ,internal,0.012062,0.010129551,1.19077345,original
42,ORY,terminal,0.039161,0.048458587,0.808133338,original
43,OCH,terminal,0.075227,0.08605595,0.874163846,original
44,  ,internal,0.041521,0.043507315,0.954345266,original
45,  ,internal,0.007483,0.004745904,1.576727965,original
46,TUP,terminal,0.087015,0.086400166,1.007116123,original
47,  ,internal,0.000412,0.001484261,0.27757915,original
48,MIC,terminal,0.035395,0.03898207,0.907981543,original
49,OTO,terminal,0.056234,0.059692552,0.942060582,original
50,  ,internal,0.009778,0.015406331,0.634674148,original
51,TAR,terminal,0.060682,0.062923889,0.964371424,original
52,CAL,terminal,0.028873,0.029299436,0.985445577,original
53,NEW,terminal,0.02348,0.021653049,1.084373868,original
54,PON,terminal,0.007197,0.008253637,0.871979234,original
55,GOR,terminal,0.002283,0.003829629,0.596141313,original
56,HOM,terminal,0.002303,0.003012166,0.764566045,original
57,PAN,terminal,0.001982,0.00280952,0.705458545,original
58,  ,internal,0.001021,0.000755656,1.351143051,original
59,  ,internal,0.003538,0.003290152,1.075330414,original
60,  ,internal,0.005162,0.004649274,1.11028079,original
61,  ,internal,0.003657,0.007126893,0.513126798,original
62,  ,internal,0.007709,0.024551406,0.313994242,original
63,  ,internal,0.001055,0.003953315,0.266864626,original
64,  ,internal,0.007876,0.006753535,1.166204138,original
65,  ,internal,0.009273,0.008652819,1.071673833,original
66,  ,internal,0.010136,0.007772195,1.304136114,original
67,  ,internal,0.109214,0.114408813,0.95459429,original
68,ORN,terminal,0.281133,0.277074035,1.014649387,original
0,MAC,terminal,0.041897,0.05406012,0.775007529,TreeShrink
1,MON,terminal,0.055471,0.06703432,0.827501495,TreeShrink
2,  ,internal,0.080857,0.10707096,0.755172084,TreeShrink
3,LOX,terminal,0.034893,0.03646791,0.956813812,TreeShrink
4,PRO,terminal,0.070608,0.07094331,0.99527355,TreeShrink
5,  ,internal,0.004739,0.01112633,0.425926608,TreeShrink
6,ECH,terminal,0.115971,0.11541475,1.004819575,TreeShrink
7,  ,internal,0.004891,0.02141683,0.228371799,TreeShrink
8,DAS,terminal,0.047813,0.05330862,0.896909355,TreeShrink
9,CHO,terminal,0.040473,0.04404613,0.91887755,TreeShrink
10,  ,internal,0.021311,0.02329397,0.91487196,TreeShrink
11,  ,internal,0.002799,0.00219935,1.272648737,TreeShrink
12,TUR,terminal,0.025339,0.02930531,0.864655586,TreeShrink
13,BOS,terminal,0.052043,0.05648225,0.921404512,TreeShrink
14,  ,internal,0.008304,0.00712406,1.165627465,TreeShrink
15,SUS,terminal,0.054004,0.05850832,0.923014026,TreeShrink
16,  ,internal,0.005223,0.00403529,1.294330767,TreeShrink
17,VIC,terminal,0.048321,0.05293149,0.91289703,TreeShrink
18,  ,internal,0.019478,0.01770131,1.100370538,TreeShrink
19,FEL,terminal,0.035035,0.04032391,0.868839356,TreeShrink
20,CAN,terminal,0.040014,0.04599544,0.869955804,TreeShrink
21,  ,internal,0.018783,0.0206861,0.908001025,TreeShrink
22,EQU,terminal,0.045887,0.04776109,0.960761155,TreeShrink
23,  ,internal,0.002415,0.00181127,1.333318611,TreeShrink
24,  ,internal,0.000517,0.00103213,0.500905894,TreeShrink
25,MYO,terminal,0.06303,0.06872674,0.917110283,TreeShrink
26,PTE,terminal,0.043902,0.04736137,0.926957983,TreeShrink
27,  ,internal,0.007192,0.01209579,0.594587042,TreeShrink
28,  ,internal,0.003779,0.00280368,1.347871369,TreeShrink
29,ERI,terminal,0.099196,0.10803975,0.918143554,TreeShrink
30,SOR,terminal,0.116215,0.12344692,0.941416764,TreeShrink
31,  ,internal,0.017144,0.01832764,0.935417762,TreeShrink
32,  ,internal,0.012125,0.00897967,1.350272337,TreeShrink
33,MUS,terminal,0.022451,0.03632799,0.618008318,TreeShrink
34,RAT,terminal,0.029009,0.04332054,0.669636159,TreeShrink
35,  ,internal,0.083546,0.09763654,0.855683743,TreeShrink
