Dataset,Branch Type,l1/l2
Birds,terminal,0.803557445
Birds,terminal,0.787685263
Birds,internal,0.383332234
Birds,terminal,0.782423374
Birds,internal,0.837199875
Birds,terminal,0.911601063
Birds,internal,0.82500443
Birds,terminal,0.702989856
Birds,terminal,0.706980692
Birds,internal,0.976216864
Birds,internal,0.748556304
Birds,terminal,0.580780529
Birds,terminal,0.580753138
Birds,internal,0.291538123
Birds,terminal,0.786940349
Birds,internal,0.51581314
Birds,terminal,0.948558095
Birds,internal,0.947368421
Birds,internal,0.926748841
Birds,terminal,0.076410188
Birds,terminal,0.092604755
Birds,internal,0.787031258
Birds,internal,1.104313725
Birds,terminal,0.414035088
Birds,terminal,0.449113592
Birds,internal,0.677574922
Birds,terminal,0.541296625
Birds,terminal,0.621359223
Birds,internal,0.401853123
Birds,internal,0.547938515
Birds,terminal,0.832521765
Birds,terminal,0.875229869
Birds,internal,0.437983692
Birds,internal,0.116642959
Birds,internal,0.865838679
Birds,terminal,0.825495758
Birds,internal,0.933959154
Birds,terminal,0.776518645
Birds,terminal,0.780650019
Birds,internal,0.746932515
Birds,terminal,0.683137813
Birds,internal,1.025639229
Birds,terminal,0.60688592
Birds,terminal,0.626273008
Birds,internal,1.024827183
Birds,internal,0.873167982
Birds,terminal,0.756256123
Birds,terminal,0.782652462
Birds,internal,0.816111448
Birds,terminal,0.793572899
Birds,internal,0.832251082
Birds,terminal,0.821000908
Birds,internal,0.984176818
Birds,internal,1.051216389
Birds,terminal,0.896680233
Birds,terminal,0.884362821
Birds,internal,0.328605201
Birds,terminal,0.821051503
Birds,internal,0.938529412
Birds,terminal,0.838348495
Birds,terminal,0.850091408
Birds,internal,1.284461153
Birds,terminal,0.818812999
Birds,internal,1.136896256
Birds,internal,0.963370697
Birds,internal,1.009259259
Birds,terminal,0.87855144
Birds,terminal,0.904501498
Birds,internal,0.563139932
Birds,internal,1.078947368
Birds,terminal,0.890284635
Birds,internal,0.954125413
Birds,terminal,0.635308953
Birds,terminal,0.612523415
Birds,internal,0.622629779
Birds,terminal,0.819905213
Birds,internal,0.766727438
Birds,terminal,0.513028515
Birds,terminal,0.470905172
Birds,internal,0.811893949
Birds,internal,0.595739714
Birds,internal,1.068247694
Birds,terminal,0.924086027
Birds,internal,0.982136602
Birds,terminal,0.897802857
Birds,terminal,0.881842096
Birds,internal,0.822463182
Birds,internal,1.078993272
Birds,terminal,0.739825496
Birds,terminal,0.718311767
Birds,internal,0.976799819
Birds,internal,0.96043956
Birds,terminal,0.437969024
Birds,terminal,0.387007602
Birds,internal,0.971188696
Birds,terminal,0.893997163
Birds,terminal,0.890086412
Birds,internal,0.534995004
Birds,internal,0.786560694
Birds,terminal,0.896578452
Birds,internal,0.907223183
Birds,terminal,0.916820307
Birds,internal,0.456329114
Birds,internal,0.96789679
Birds,terminal,0.931843383
Birds,internal,1.067776457
Birds,terminal,0.962453383
Birds,internal,1.336809176
Birds,terminal,0.721126136
Birds,terminal,0.785877409
Birds,internal,0.973999772
Birds,internal,0.976321353
Birds,terminal,0.90666016
Birds,terminal,0.884551335
Birds,internal,0.809519098
Birds,internal,0.96729354
Birds,terminal,0.933126202
Birds,internal,0.899005594
Birds,terminal,0.826305815
Birds,terminal,0.814519785
Birds,internal,0.822461889
Birds,terminal,0.862609132
Birds,internal,0.726207488
Birds,terminal,0.894011923
Birds,internal,0.853850116
Birds,terminal,0.855620999
Birds,terminal,0.869148175
Birds,internal,0.697074407
Birds,internal,0.79585483
Birds,terminal,0.924477612
Birds,internal,1.151229274
Birds,terminal,0.94087694
Birds,internal,0.326996198
Birds,terminal,0.785708061
Birds,terminal,0.777482594
Birds,internal,0.705920171
Birds,terminal,0.904787335
Birds,internal,0.935991605
Birds,terminal,0.929918969
Birds,internal,1.290880503
Birds,terminal,0.885559512
Birds,internal,0.804149666
Birds,internal,0.842391782
Birds,terminal,0.946500759
Birds,internal,0.948467967
Birds,terminal,0.89119315
Birds,terminal,0.902323998
Birds,internal,0.834678
Birds,terminal,0.007424242
Birds,terminal,0.004675716
Birds,internal,0.976553183
Birds,internal,0.868219256
Birds,terminal,0.958386427
Birds,internal,1.348705502
Birds,terminal,0.920293768
Birds,internal,0.904753298
Birds,internal,0.684665227
Birds,terminal,0.94250169
Birds,internal,0.355029586
Birds,terminal,0.908194458
Birds,terminal,0.886841068
Birds,internal,0.587717338
Birds,internal,1.411971831
Birds,internal,1.233480176
Birds,terminal,0.54863466
Birds,terminal,0.531379181
Birds,internal,0.689880508
Birds,terminal,0.760931649
Birds,internal,0.649264678
Birds,terminal,0.857877956
Birds,terminal,0.87831968
Birds,internal,0.853747715
Birds,terminal,0.85936757
Birds,internal,1.111932939
Birds,internal,1.056160939
Birds,terminal,0.89683574
Birds,terminal,0.873563903
Birds,internal,0.341032931
Birds,terminal,0.866567828
Birds,internal,0.846462182
Birds,internal,0.951688555
Birds,terminal,0.842757989
Birds,terminal,0.840394053
Birds,internal,0.837832762
Birds,internal,1.094687007
Birds,terminal,0.877173283
Birds,terminal,0.86970272
Birds,internal,0.807127112
Birds,terminal,0.920838336
Birds,internal,0.957582801
Birds,terminal,0.922838496
Birds,internal,1.056125941
Birds,terminal,0.920278325
Birds,internal,1.39637827
Birds,terminal,0.852811757
Birds,terminal,0.841251661
Birds,internal,0.624967229
Birds,internal,0.909249564
Birds,internal,1.065714286
Birds,terminal,0.945943505
Birds,internal,1.521985816
Birds,terminal,0.906652724
Birds,terminal,0.920344912
Birds,internal,0.55618939
Birds,terminal,0.906959085
Birds,internal,0.968810916
Birds,terminal,0.827793218
Birds,terminal,0.838345116
Birds,internal,0.537619175
Birds,internal,0.758878505
Birds,internal,0.775729647
Birds,terminal,0.960851625
Birds,internal,1.295522388
Birds,terminal,0.953971158
Birds,internal,1.18627451
Birds,terminal,0.957136227
Birds,internal,0.884661118
Birds,terminal,0.914919852
Birds,terminal,0.908343988
Birds,internal,0.819938335
Birds,internal,0.878647343
Birds,terminal,0.849080533
Birds,terminal,0.818445476
Birds,internal,0.764581498
Birds,terminal,0.784390301
Birds,internal,0.708271051
Birds,terminal,0.91875238
Birds,internal,0.836345872
Birds,internal,1.075636943
Birds,internal,0.79964469
Birds,terminal,0.889171076
Birds,terminal,0.876475956
Birds,internal,0.836882945
Birds,terminal,0.941621115
Birds,internal,1.015354136
Birds,internal,1.442801556
Birds,terminal,0.904820144
Birds,terminal,0.928180777
Birds,internal,0.894380755
Birds,internal,0.587540279
Birds,terminal,0.931305201
Birds,internal,1.101785714
Birds,terminal,0.931749422
Birds,internal,0.958099251
Birds,terminal,0.91303767
Birds,terminal,0.910069808
Birds,internal,0.769089349
Birds,terminal,0.914832127
Birds,internal,0.88695978
Birds,terminal,0.93351355
Birds,internal,0.947298199
Birds,terminal,0.919245789
Birds,terminal,0.925441465
Birds,internal,0.963472486
Birds,internal,0.927018634
Birds,terminal,0.907025464
Birds,terminal,0.908035891
Birds,internal,0.926835138
Birds,internal,1.131578947
Birds,terminal,0.917096254
Birds,internal,1.692056583
Birds,terminal,0.932733258
Birds,internal,1.188976378
Birds,terminal,0.939541328
Birds,terminal,0.928077609
Birds,internal,1.053357314
Birds,terminal,0.924384774
Birds,internal,1.126699029
Birds,terminal,0.919308151
Birds,internal,0.956456456
Birds,terminal,0.926699275
Birds,internal,0.618181818
Birds,terminal,0.917590591
Birds,internal,0.85011346
Birds,internal,1.799031477
Birds,terminal,0.927606153
