,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,100bp,50,CASTLES-DISCO,01,terminal,0.00480533,0.0032088413131436486
1,100bp,50,CASTLES-DISCO,01,terminal,0.00134662,0.000468145054346265
2,100bp,50,CASTLES-DISCO,01,internal,0.02048887,0.008740453192850656
3,100bp,50,CASTLES-DISCO,01,terminal,0.0511101,0.050675977050237415
4,100bp,50,CASTLES-DISCO,01,internal,0.00339005,0.017889084273933233
5,100bp,50,CASTLES-DISCO,01,terminal,0.01682875,0.03010024390320754
6,100bp,50,CASTLES-DISCO,01,terminal,0.0301089,0.02008207570567949
7,100bp,50,CASTLES-DISCO,01,internal,0.00746509,0.0016435321488302522
8,100bp,50,CASTLES-DISCO,01,internal,0.05743881,0.041091586380613596
9,100bp,50,CASTLES-DISCO,01,terminal,0.06298128,0.10745750962649889
10,100bp,50,CASTLES-DISCO,01,internal,0.00133221,0.04341450848816189
11,100bp,50,CASTLES-DISCO,01,terminal,0.03082297,0.019948648489901258
12,100bp,50,CASTLES-DISCO,01,terminal,0.03017272,0.012081010510262266
13,100bp,50,CASTLES-DISCO,01,internal,0.05264539,0.06525431743116362
14,100bp,50,CASTLES-DISCO,01,internal,0.14455498,0.045268587717406605
15,100bp,50,CASTLES-DISCO,01,terminal,0.05219861,0.0011350113496786385
16,100bp,50,CASTLES-DISCO,01,terminal,0.16240299,0.0656532118104552
17,100bp,50,CASTLES-DISCO,01,internal,0.08433942,0.10107246815673553
18,100bp,50,CASTLES-DISCO,01,internal,0.69361461,0.2207216261771447
19,100bp,50,CASTLES-DISCO,01,terminal,0.00782794,0.011909421566276987
20,100bp,50,CASTLES-DISCO,01,terminal,0.00346681,0.01744578542466349
21,100bp,50,CASTLES-DISCO,01,internal,0.00043562,0.02782767188011167
22,100bp,50,CASTLES-DISCO,01,terminal,0.00750052,0.008023186409575864
23,100bp,50,CASTLES-DISCO,01,internal,0.00049261,0.0010879386399470497
24,100bp,50,CASTLES-DISCO,01,terminal,0.02028174,0.03621815729308703
25,100bp,50,CASTLES-DISCO,01,terminal,0.0004109,0.007120203007150206
