,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.00480533,0.008289
1,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.00134662,0.005088
2,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.02048887,0.016243
3,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.0511101,0.04644
4,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.00339005,0.019777
5,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.01682875,0.013434
6,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.0301089,0.027843
7,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.00746509,0.020819
8,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.05743881,0.073229
9,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.06298128,0.037212
10,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.00133221,0.039455
11,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.03082297,0.018461
12,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.03017272,0.018995
13,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.05264539,0.070536
14,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.14455498,0.18428
15,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.05219861,0.013752
16,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.16240299,0.116271
17,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.08433942,0.107002
18,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.69361461,0.499375
19,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.00782794,0.00212
20,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.00346681,0.004674
21,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.00043562,0.01232
22,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.00750052,0.009511
23,20_gdl_1e-9_1,1000,CASTLES-Pro,01,internal,0.00049261,0.011069
24,20_gdl_1e-9_1,1000,CASTLES-Pro,01,terminal,0.02028174,0.027969
