,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,500bp,1000,CASTLES-Pro,01,terminal,0.00480533,0.005333
1,500bp,1000,CASTLES-Pro,01,terminal,0.00134662,0.002935
2,500bp,1000,CASTLES-Pro,01,internal,0.02048887,0.016675
3,500bp,1000,CASTLES-Pro,01,terminal,0.0511101,0.041828
4,500bp,1000,CASTLES-Pro,01,internal,0.00339005,0.017234
5,500bp,1000,CASTLES-Pro,01,terminal,0.01682875,0.016096
6,500bp,1000,CASTLES-Pro,01,terminal,0.0301089,0.028578
7,500bp,1000,CASTLES-Pro,01,internal,0.00746509,0.012171
8,500bp,1000,CASTLES-Pro,01,internal,0.05743881,0.067096
9,500bp,1000,CASTLES-Pro,01,terminal,0.06298128,0.052794
10,500bp,1000,CASTLES-Pro,01,internal,0.00133221,0.009042
11,500bp,1000,CASTLES-Pro,01,terminal,0.03082297,0.020673
12,500bp,1000,CASTLES-Pro,01,terminal,0.03017272,0.01925
13,500bp,1000,CASTLES-Pro,01,internal,0.05264539,0.062722
14,500bp,1000,CASTLES-Pro,01,internal,0.14455498,0.105676
15,500bp,1000,CASTLES-Pro,01,terminal,0.05219861,0.036317
16,500bp,1000,CASTLES-Pro,01,terminal,0.16240299,0.113524
17,500bp,1000,CASTLES-Pro,01,internal,0.08433942,0.057622
18,500bp,1000,CASTLES-Pro,01,internal,0.69361461,0.33434
19,500bp,1000,CASTLES-Pro,01,terminal,0.00782794,0.003315
20,500bp,1000,CASTLES-Pro,01,terminal,0.00346681,0.000606
21,500bp,1000,CASTLES-Pro,01,internal,0.00043562,0.005025
22,500bp,1000,CASTLES-Pro,01,terminal,0.00750052,0.002642
23,500bp,1000,CASTLES-Pro,01,internal,0.00049261,0.012292
24,500bp,1000,CASTLES-Pro,01,terminal,0.02028174,0.022513
25,500bp,1000,CASTLES-Pro,01,terminal,0.0004109,0.008173
26,500bp,1000,CASTLES-Pro,01,terminal,0.00290902,0.00723
27,500bp,1000,CASTLES-Pro,01,internal,0.00079618,0.004581
28,500bp,1000,CASTLES-Pro,01,internal,0.02481667,0.023187
29,500bp,1000,CASTLES-Pro,01,internal,0.2254953,0.146616
30,500bp,1000,CASTLES-Pro,01,terminal,0.02556446,0.024887
31,500bp,1000,CASTLES-Pro,01,terminal,0.06288072,0.054525
32,500bp,1000,CASTLES-Pro,01,terminal,0.03966398,0.035125
33,500bp,1000,CASTLES-Pro,01,internal,0.00280508,0.006002
34,500bp,1000,CASTLES-Pro,01,internal,0.00069001,0.007805
35,500bp,1000,CASTLES-Pro,01,terminal,0.04289849,0.030646
36,500bp,1000,CASTLES-Pro,01,internal,0.06085203,0.057821
37,500bp,1000,CASTLES-Pro,01,internal,0.11620337,0.120547
38,500bp,1000,CASTLES-Pro,02,terminal,0.00274075,0.001633
39,500bp,1000,CASTLES-Pro,02,terminal,0.00025117,0.000792
40,500bp,1000,CASTLES-Pro,02,terminal,0.00210531,0.001972
41,500bp,1000,CASTLES-Pro,02,internal,0.00255217,0.002966
42,500bp,1000,CASTLES-Pro,02,internal,0.10228662,0.080452
43,500bp,1000,CASTLES-Pro,02,terminal,0.08713871,0.060896
44,500bp,1000,CASTLES-Pro,02,internal,0.1582808,0.106559
45,500bp,1000,CASTLES-Pro,02,terminal,0.02258575,0.023143
46,500bp,1000,CASTLES-Pro,02,terminal,0.02635892,0.026917
47,500bp,1000,CASTLES-Pro,02,internal,0.03717176,0.027001
48,500bp,1000,CASTLES-Pro,02,terminal,0.01496505,0.000126
49,500bp,1000,CASTLES-Pro,02,internal,0.20113916,0.139194
50,500bp,1000,CASTLES-Pro,02,internal,0.181741,0.122894
51,500bp,1000,CASTLES-Pro,02,terminal,0.38060804,0.188294
52,500bp,1000,CASTLES-Pro,02,terminal,0.07399659,0.050102
53,500bp,1000,CASTLES-Pro,02,terminal,0.09865494,0.085954
54,500bp,1000,CASTLES-Pro,02,terminal,0.02991538,0.033314
55,500bp,1000,CASTLES-Pro,02,terminal,0.00891228,0.008834
56,500bp,1000,CASTLES-Pro,02,terminal,0.00082135,0.001749
57,500bp,1000,CASTLES-Pro,02,terminal,0.00050492,0.001769
58,500bp,1000,CASTLES-Pro,02,internal,0.00487078,0.010902
59,500bp,1000,CASTLES-Pro,02,terminal,0.02717474,0.024467
60,500bp,1000,CASTLES-Pro,02,internal,0.00366383,0.007776
61,500bp,1000,CASTLES-Pro,02,internal,0.01523826,0.017737
62,500bp,1000,CASTLES-Pro,02,terminal,0.0086869,0.010712
63,500bp,1000,CASTLES-Pro,02,internal,0.02050321,0.019574
64,500bp,1000,CASTLES-Pro,02,internal,0.00074599,0.000343
65,500bp,1000,CASTLES-Pro,02,terminal,0.02517786,0.022379
66,500bp,1000,CASTLES-Pro,02,internal,0.0020609,0.008588
67,500bp,1000,CASTLES-Pro,02,terminal,0.04227454,0.041059
68,500bp,1000,CASTLES-Pro,02,terminal,0.00747187,0.009644
69,500bp,1000,CASTLES-Pro,02,terminal,0.03114754,0.031241
70,500bp,1000,CASTLES-Pro,02,internal,0.00889611,0.008676
71,500bp,1000,CASTLES-Pro,02,internal,0.00207106,0.005646
72,500bp,1000,CASTLES-Pro,02,internal,0.01352025,0.023725
73,500bp,1000,CASTLES-Pro,02,internal,0.01012574,0.01308
74,500bp,1000,CASTLES-Pro,02,internal,0.03508619,0.059126
75,500bp,1000,CASTLES-Pro,02,internal,0.25756472,0.12215
76,500bp,1000,CASTLES-Pro,03,terminal,0.00506445,0.005062
77,500bp,1000,CASTLES-Pro,03,terminal,0.00518704,0.005453
78,500bp,1000,CASTLES-Pro,03,internal,0.00929146,0.008529
79,500bp,1000,CASTLES-Pro,03,terminal,0.01554802,0.020353
80,500bp,1000,CASTLES-Pro,03,terminal,0.04979597,0.045122
81,500bp,1000,CASTLES-Pro,03,internal,0.0017856,0.000167
82,500bp,1000,CASTLES-Pro,03,internal,0.01377351,0.032496
83,500bp,1000,CASTLES-Pro,03,terminal,0.00334457,0.004186
84,500bp,1000,CASTLES-Pro,03,terminal,0.01630633,0.016261
85,500bp,1000,CASTLES-Pro,03,internal,0.01672787,0.014398
86,500bp,1000,CASTLES-Pro,03,terminal,0.0329695,0.031185
87,500bp,1000,CASTLES-Pro,03,terminal,0.01263646,0.012046
88,500bp,1000,CASTLES-Pro,03,internal,0.01272588,0.014259
89,500bp,1000,CASTLES-Pro,03,internal,0.01963349,0.030455
90,500bp,1000,CASTLES-Pro,03,terminal,0.00346123,0.008402
91,500bp,1000,CASTLES-Pro,03,terminal,0.00555372,0.008027
92,500bp,1000,CASTLES-Pro,03,internal,0.09527635,0.069578
93,500bp,1000,CASTLES-Pro,03,terminal,0.00076373,0.000664
94,500bp,1000,CASTLES-Pro,03,terminal,0.00130356,0.001513
95,500bp,1000,CASTLES-Pro,03,internal,0.00982043,0.010133
96,500bp,1000,CASTLES-Pro,03,terminal,0.0101449,0.012312
97,500bp,1000,CASTLES-Pro,03,internal,0.02441895,0.021953
98,500bp,1000,CASTLES-Pro,03,terminal,0.01089352,0.008696
99,500bp,1000,CASTLES-Pro,03,terminal,0.01658738,0.016877
100,500bp,1000,CASTLES-Pro,03,terminal,0.01128466,0.010197
101,500bp,1000,CASTLES-Pro,03,internal,0.00344335,0.006426
102,500bp,1000,CASTLES-Pro,03,internal,0.00710958,0.010976
103,500bp,1000,CASTLES-Pro,03,internal,0.02024604,0.02226
104,500bp,1000,CASTLES-Pro,03,internal,0.00821227,0.015364
105,500bp,1000,CASTLES-Pro,03,terminal,0.07372308,0.069485
106,500bp,1000,CASTLES-Pro,03,internal,0.00174645,0.007374
107,500bp,1000,CASTLES-Pro,03,terminal,0.02458495,0.022194
108,500bp,1000,CASTLES-Pro,03,terminal,0.03454028,0.031226
109,500bp,1000,CASTLES-Pro,03,internal,0.03112711,0.032426
110,500bp,1000,CASTLES-Pro,03,internal,0.00509668,0.014356
111,500bp,1000,CASTLES-Pro,03,internal,0.0216918,0.015734
112,500bp,1000,CASTLES-Pro,03,internal,0.37954226,0.243935
113,500bp,1000,CASTLES-Pro,03,terminal,0.42181696,0.455932
114,500bp,1000,CASTLES-Pro,04,terminal,0.05639396,0.043166
115,500bp,1000,CASTLES-Pro,04,terminal,0.03554739,0.02491
