,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.00480533,0.007066475596643763
1,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.00134662,0.0040934026591919696
2,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.02048887,0.01496385317563431
3,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.0511101,0.041854012786476893
4,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00339005,0.0239659986082556
5,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.01682875,0.009737250689596313
6,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.0301089,0.021588611112515768
7,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00746509,0.022717654116276867
8,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.05743881,0.10103890117290065
9,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.06298128,0.08887962241350265
10,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00133221,0.02116963359297422
11,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.03082297,0.016035619778422133
12,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.03017272,0.018895638824879546
13,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.05264539,0.0674219178907348
14,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.14455498,0.19750942300193317
15,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.05219861,0.046405795357091516
16,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.16240299,0.1428921498267955
17,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.08433942,0.006958678030089432
18,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.69361461,0.4119821089614734
19,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.00782794,0.0022836356242286453
20,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.00346681,0.006231143524349069
21,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00043562,0.010173008151442417
22,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.00750052,0.0036610205362330953
23,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00049261,0.017292624313025855
24,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.02028174,0.03299094399180935
25,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.0004109,0.004216096054467013
26,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.00290902,0.008568372312703673
27,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00079618,0.0076091655528906545
28,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.02481667,0.021717523117048606
29,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.2254953,0.24765184757751796
30,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.02556446,0.021548163940060053
31,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.06288072,0.05699874146684776
32,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.03966398,0.025862640758978088
33,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00280508,0.01684069960556195
34,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.00069001,0.0011338880727989938
35,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,0.04289849,0.04112010775091444
36,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.06085203,0.15728823935465353
37,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,internal,0.11620337,0.3001841338683273
38,20_gdl_1e-9_1,10000,CASTLES-DISCO,01,terminal,1.29435141,0.01915714312336935
39,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.00432495,0.007981712547112538
40,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.00357321,0.00565952107721503
41,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.03205812,0.018687717452381767
42,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.00434752,0.0022764308659070365
43,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.01252395,0.006233245925752747
44,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.01209234,0.01777868657711356
45,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.02093087,0.06101623878403265
46,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.09055891,0.10396433596519736
47,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.41982587,0.3147228391993696
48,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.38382894,0.26638782462689364
49,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.4228361,0.39234993709631455
50,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.02115917,0.020362803588949693
51,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.01844046,0.020402169003448566
52,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.00341946,0.0053264787847862646
53,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.01662976,0.011410076240595849
54,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.00043227,0.0006779586631726806
55,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.00213235,0.0141139534873635
56,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.00722248,0.024360354800568286
57,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.03606856,0.032541385876289956
58,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.16773865,0.18471627527100384
59,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.00682722,0.14102892988464855
60,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.05407639,0.06793083074830812
61,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.09319366,0.02658908346303217
62,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.00617849,0.01814478280202418
63,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.01176672,0.011274846390140467
64,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.06989506,0.09378361502741024
65,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.00570528,0.0090587502794586
66,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.01696523,0.00130580959705371
67,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.02605898,0.054190476589671105
68,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.09989183,0.13104234125531733
69,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.13541255,0.13553998212329124
70,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.07967419,0.11100877811576176
71,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.02767632,0.008505810386837773
72,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.03527053,0.026387284706830428
73,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.00017405,0.012887410409054969
74,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.01618441,0.015898535929873614
75,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.16233317,0.18082548337265236
76,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,internal,0.24740226,0.22369857362785556
77,20_gdl_1e-9_1,10000,CASTLES-DISCO,02,terminal,0.90152641,0.02378120459263102
78,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.02770117,0.021355459974595557
79,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.03001245,0.02000663765978066
80,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.0167773,0.0327492629482301
81,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.00757964,0.0046577634835975705
82,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.0045747,6.723981670273688e-05
83,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.01662726,0.020962842971556955
84,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.00353986,0.006412919781376602
85,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.00528323,0.0035054475795747954
86,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.00779291,0.00033955692129451764
87,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.00328695,0.001204946183843739
88,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.00137424,0.005363467641228303
89,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.00282103,0.013471370845782314
90,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.02665644,0.027509643520332545
91,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.02057143,0.02881736047615123
92,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.02868154,0.023227953500802683
93,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.06033847,0.04922787279759404
94,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.02299189,0.028436708933162445
95,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.01982351,0.02908752288411019
96,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.05466674,0.14518963061508358
97,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.03571868,0.040779617129625745
98,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.05840296,0.05750480804113885
99,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.04210529,0.004555168151652272
100,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.01101908,0.19632883197813963
101,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,terminal,0.15439152,0.07978198427926975
102,20_gdl_1e-9_1,10000,CASTLES-DISCO,03,internal,0.88649656,0.08425445606486232
