,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.09832507,0.03413733402314527
1,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.17693598,0.11047117169617852
2,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.07905508,0.0924760548997124
3,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.19988018,0.13988141944036858
4,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.06923615,0.04661868847027641
5,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01076866,0.0006282096285470766
6,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00599643,0.0017259456218110918
7,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01132899,0.019910984660298565
8,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00378576,0.040674140358535726
9,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.02848246,0.0009658731279585699
10,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.02874803,0.02261408307071694
11,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.0259027,0.023826568754253902
12,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.04770004,0.047179410500612584
13,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03443568,0.013416443441823245
14,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00681708,0.00494289008274118
15,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.0900837,0.06563981084427943
16,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01701571,0.015624874778954646
17,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00026508,0.000560931679608686
18,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.06432235,0.05731971369053145
19,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.03267542,0.010048177319830593
20,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01798076,0.008534845640260141
21,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03293097,0.026251564414062786
22,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01621414,0.012728659111675918
23,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.03320696,0.02218659258537362
24,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01079716,0.030278933995238056
25,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00258372,0.05691834872649197
26,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.03510243,0.005101317556990295
27,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.02388138,0.0025249112206259723
28,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01840908,0.005344552344064472
29,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00104231,0.003258098582026614
30,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00028047,0.0019675162816799804
31,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01310204,0.007727246858637743
32,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01213058,0.010104873075418888
33,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00741346,0.0035562118610981326
34,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00014697,0.0227666859397721
35,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.02127102,0.049407902663225624
36,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.08100485,0.04672845957508702
37,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03259682,0.025065622250792126
38,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01525669,0.0007562814161946928
39,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.0456377,0.08190634606157228
40,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01175951,0.05918398703600591
41,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.22076643,0.13769786502780215
42,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.04222461,0.05589705698920984
43,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.07716669,0.0521484699009836
44,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00488837,0.0006058451954375557
45,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00787628,0.004996772214459062
46,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00436615,0.021618911676875116
47,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00526247,0.015537898068042599
48,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01110155,0.017332128398141786
49,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00715837,0.001910625536672348
50,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.08358033,0.07380372349687682
51,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.0262318,0.027601857546070318
52,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00070127,0.0013505894218171898
53,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00407039,0.001568337887613274
54,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00720835,0.010732745267047919
55,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.0235542,0.01739651758817385
56,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01036246,0.014538988110384973
57,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03919053,0.03533859128498815
58,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00318879,0.002843766846902429
59,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03368812,0.03805607706158952
60,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00359972,0.006573954068208168
61,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00996467,0.014322065691341177
62,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00509363,0.006460238496787512
63,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00779964,0.015056350095422198
64,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00856374,0.032813675891651295
65,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.08467085,0.09385487205594638
66,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.11269139,0.06950479090660909
67,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00149965,0.0027078505045563107
68,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.04462894,0.030427851225781052
69,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00929462,0.0032962975446114563
70,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01177779,0.018906130406017244
71,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00079281,0.01180704403389686
72,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03774313,0.01745781243892673
73,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.06846745,0.05488613356857526
74,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00155743,0.014744052989144163
75,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.0003463,0.01459885745685735
76,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.18027542,0.12296004468354788
77,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00046429,0.000488748260329414
78,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01043561,0.020544680923818955
79,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.3533513,0.16789641975978273
80,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.02199572,0.026481140091720392
81,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01697152,0.0024332636134912627
82,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.03178419,0.0016919752645027236
83,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.08892682,0.10169179436467121
84,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.0417792,0.01939823299512306
85,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00014386,0.0038935322979159106
86,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00087479,0.0018291904375434334
87,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00656276,0.006743354651037169
88,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00782033,0.0004350116190955152
89,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.0178178,0.018001616763293978
90,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.02506748,0.0418748418128988
91,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.01224014,0.026934752638325576
92,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.04814344,0.020192685947748614
93,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.0140426,0.01998232617867392
94,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.01117081,0.06802312445094717
95,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.14218547,0.08906938146255693
96,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.05190128,0.01643486833744602
97,gtrees_10000_l1,50,CASTLES-DISCO,01,terminal,0.00661797,0.012207634733097494
98,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.10187129,0.11276426490631632
99,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00063568,0.0008631840677859915
100,gtrees_10000_l1,50,CASTLES-DISCO,01,internal,0.00655777,0.0426499006955213
