,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,0% AD,10000,CASTLES-Pro,01,terminal,0.09832507,0.07332273184138356
1,0% AD,10000,CASTLES-Pro,01,terminal,0.17693598,0.14344172967162194
2,0% AD,10000,CASTLES-Pro,01,internal,0.07905508,0.07030027540611349
3,0% AD,10000,CASTLES-Pro,01,terminal,0.19988018,0.16268960333527424
4,0% AD,10000,CASTLES-Pro,01,terminal,0.06923615,0.0959886841036954
5,0% AD,10000,CASTLES-Pro,01,terminal,0.01076866,0.005902379250012777
6,0% AD,10000,CASTLES-Pro,01,terminal,0.00599643,1.2598950375416335e-05
7,0% AD,10000,CASTLES-Pro,01,internal,0.01132899,0.016889293312422532
8,0% AD,10000,CASTLES-Pro,01,internal,0.00378576,0.02828253039151047
9,0% AD,10000,CASTLES-Pro,01,internal,0.02848246,0.022380479956488623
10,0% AD,10000,CASTLES-Pro,01,terminal,0.02874803,0.016434454687487547
11,0% AD,10000,CASTLES-Pro,01,terminal,0.0259027,0.012390432797690414
12,0% AD,10000,CASTLES-Pro,01,internal,0.04770004,0.05784566196929556
13,0% AD,10000,CASTLES-Pro,01,terminal,0.03443568,0.01424063949884248
14,0% AD,10000,CASTLES-Pro,01,terminal,0.00681708,0.016610394802973785
15,0% AD,10000,CASTLES-Pro,01,internal,0.0900837,0.09528983536687922
16,0% AD,10000,CASTLES-Pro,01,internal,0.01701571,0.024366879063482807
17,0% AD,10000,CASTLES-Pro,01,internal,0.00026508,0.00036859240836105596
18,0% AD,10000,CASTLES-Pro,01,terminal,0.06432235,0.06937392288508339
19,0% AD,10000,CASTLES-Pro,01,internal,0.03267542,0.037884702589376755
20,0% AD,10000,CASTLES-Pro,01,terminal,0.01798076,0.01576368743180981
21,0% AD,10000,CASTLES-Pro,01,terminal,0.03293097,0.022632450447673848
22,0% AD,10000,CASTLES-Pro,01,terminal,0.01621414,0.005482952845482933
23,0% AD,10000,CASTLES-Pro,01,internal,0.03320696,0.04651569445778352
24,0% AD,10000,CASTLES-Pro,01,internal,0.01079716,0.021852256190768752
25,0% AD,10000,CASTLES-Pro,01,internal,0.00258372,0.020268842763025652
26,0% AD,10000,CASTLES-Pro,01,internal,0.03510243,0.0612863271224652
27,0% AD,10000,CASTLES-Pro,01,terminal,0.02388138,0.030946397688848888
28,0% AD,10000,CASTLES-Pro,01,terminal,0.01840908,0.025345276924090224
29,0% AD,10000,CASTLES-Pro,01,internal,0.00104231,0.002894253033844488
30,0% AD,10000,CASTLES-Pro,01,terminal,0.00028047,0.007646005578000095
