,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.09832507,0.07823
1,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.17693598,0.161397
2,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.07905508,0.031456
3,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.19988018,0.203931
4,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.06923615,0.067348
5,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01076866,0.002522
6,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00599643,0.003453
7,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01132899,0.018035
8,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00378576,0.025075
9,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02848246,0.02712
10,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.02874803,0.025593
11,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.0259027,0.030191
12,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.04770004,0.074099
13,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03443568,0.025299
14,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00681708,0.002274
15,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.0900837,0.084882
16,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01701571,0.011212
17,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00026508,0.024366
18,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.06432235,0.065201
19,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03267542,0.023339
20,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01798076,0.016568
21,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.03293097,0.043274
22,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01621414,0.023899
23,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03320696,0.01398
24,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01079716,0.023159
25,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00258372,0.009577
26,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.03510243,0.104127
27,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.02388138,0.077401
28,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01840908,0.046358
29,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00104231,0.023848
30,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00028047,0.011889
31,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.01310204,0.01419
32,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.01213058,0.008671
33,gtrees_10000_l1,50,CASTLES-Pro,01,terminal,0.00741346,0.007032
34,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.00014697,0.011537
35,gtrees_10000_l1,50,CASTLES-Pro,01,internal,0.02127102,0.041399
