,condition,genes_num,Method,replicate,time_s,mem_gb
0,gtrees_10000_l1,50,CASTLES-DISCO,1,1.6600000000000001,0.057644
1,gtrees_10000_l1,100,CASTLES-DISCO,1,2.8099999999999996,0.051404
2,gtrees_10000_l1,500,CASTLES-DISCO,1,16.01,0.199424
3,gtrees_10000_l1,1000,CASTLES-DISCO,1,35.43,0.389432
4,gtrees_10000_l1,10000,CASTLES-DISCO,1,377.51,3.812264
5,gtrees_10000_l1,50,CASTLES-DISCO,2,1.63,0.04294
6,gtrees_10000_l1,100,CASTLES-DISCO,2,2.64,0.050928
7,gtrees_10000_l1,500,CASTLES-DISCO,2,15.670000000000002,0.190312
8,gtrees_10000_l1,1000,CASTLES-DISCO,2,35.91,0.378576
9,gtrees_10000_l1,10000,CASTLES-DISCO,2,379.94,3.641084
10,gtrees_10000_l1,50,CASTLES-DISCO,3,1.94,0.047944
11,gtrees_10000_l1,100,CASTLES-DISCO,3,3.4000000000000004,0.05464
12,gtrees_10000_l1,500,CASTLES-DISCO,3,16.25,0.1939
13,gtrees_10000_l1,1000,CASTLES-DISCO,3,36.34,0.386656
14,gtrees_10000_l1,10000,CASTLES-DISCO,3,403.11,3.880372
15,gtrees_10000_l1,50,CASTLES-DISCO,4,1.7499999999999998,0.04262
16,gtrees_10000_l1,100,CASTLES-DISCO,4,2.92,0.057208
17,gtrees_10000_l1,500,CASTLES-DISCO,4,17.88,0.207112
18,gtrees_10000_l1,1000,CASTLES-DISCO,4,40.71,0.40944
19,gtrees_10000_l1,10000,CASTLES-DISCO,4,413.64,3.891868
20,gtrees_10000_l1,50,CASTLES-DISCO,5,1.7999999999999998,0.044452
21,gtrees_10000_l1,100,CASTLES-DISCO,5,2.84,0.05338
22,gtrees_10000_l1,500,CASTLES-DISCO,5,15.39,0.169504
23,gtrees_10000_l1,1000,CASTLES-DISCO,5,37.73,0.345132
24,gtrees_10000_l1,10000,CASTLES-DISCO,5,407.89,3.333296
25,gtrees_10000_l1,50,CASTLES-DISCO,6,1.73,0.04432
26,gtrees_10000_l1,100,CASTLES-DISCO,6,2.9200000000000004,0.05378
27,gtrees_10000_l1,500,CASTLES-DISCO,6,14.309999999999999,0.182084
28,gtrees_10000_l1,1000,CASTLES-DISCO,6,30.880000000000003,0.34518
29,gtrees_10000_l1,10000,CASTLES-DISCO,6,348.22,3.481104
30,gtrees_10000_l1,50,CASTLES-DISCO,7,1.8499999999999999,0.043912
31,gtrees_10000_l1,100,CASTLES-DISCO,7,3.1999999999999997,0.05466
32,gtrees_10000_l1,500,CASTLES-DISCO,7,15.270000000000001,0.194012
