,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,20,1000,CASTLES-Pro,01,terminal,0.00480533,0.007059
1,20,1000,CASTLES-Pro,01,terminal,0.00134662,0.004733
2,20,1000,CASTLES-Pro,01,internal,0.02048887,0.017369
3,20,1000,CASTLES-Pro,01,terminal,0.0511101,0.04986
4,20,1000,CASTLES-Pro,01,internal,0.00339005,0.01511
5,20,1000,CASTLES-Pro,01,terminal,0.01682875,0.014119
6,20,1000,CASTLES-Pro,01,terminal,0.0301089,0.027004
7,20,1000,CASTLES-Pro,01,internal,0.00746509,0.017925
8,20,1000,CASTLES-Pro,01,internal,0.05743881,0.069059
9,20,1000,CASTLES-Pro,01,terminal,0.06298128,0.061811
10,20,1000,CASTLES-Pro,01,internal,0.00133221,0.035369
11,20,1000,CASTLES-Pro,01,terminal,0.03082297,0.016843
12,20,1000,CASTLES-Pro,01,terminal,0.03017272,0.013118
13,20,1000,CASTLES-Pro,01,internal,0.05264539,0.06733
14,20,1000,CASTLES-Pro,01,internal,0.14455498,0.137364
15,20,1000,CASTLES-Pro,01,terminal,0.05219861,0.018748
16,20,1000,CASTLES-Pro,01,terminal,0.16240299,0.086317
17,20,1000,CASTLES-Pro,01,internal,0.08433942,0.11508
18,20,1000,CASTLES-Pro,01,internal,0.69361461,0.477186
19,20,1000,CASTLES-Pro,01,terminal,0.00782794,0.002345
20,20,1000,CASTLES-Pro,01,terminal,0.00346681,0.002668
21,20,1000,CASTLES-Pro,01,internal,0.00043562,0.008135
22,20,1000,CASTLES-Pro,01,terminal,0.00750052,0.004622
23,20,1000,CASTLES-Pro,01,internal,0.00049261,0.015245
24,20,1000,CASTLES-Pro,01,terminal,0.02028174,0.029764
25,20,1000,CASTLES-Pro,01,terminal,0.0004109,0.007372
26,20,1000,CASTLES-Pro,01,terminal,0.00290902,0.011204
27,20,1000,CASTLES-Pro,01,internal,0.00079618,0.003183
28,20,1000,CASTLES-Pro,01,internal,0.02481667,0.025324
29,20,1000,CASTLES-Pro,01,internal,0.2254953,0.165296
30,20,1000,CASTLES-Pro,01,terminal,0.02556446,0.031629
31,20,1000,CASTLES-Pro,01,terminal,0.06288072,0.062412
32,20,1000,CASTLES-Pro,01,terminal,0.03966398,0.039627
33,20,1000,CASTLES-Pro,01,internal,0.00280508,0.012064
34,20,1000,CASTLES-Pro,01,internal,0.00069001,0.000674
35,20,1000,CASTLES-Pro,01,terminal,0.04289849,0.024304
36,20,1000,CASTLES-Pro,01,internal,0.06085203,0.069769
37,20,1000,CASTLES-Pro,01,internal,0.11620337,0.188906
38,20,1000,CASTLES-Pro,02,terminal,0.02887465,0.018437
39,20,1000,CASTLES-Pro,02,terminal,0.01649295,0.010166
40,20,1000,CASTLES-Pro,02,internal,0.02198634,0.029893
41,20,1000,CASTLES-Pro,02,terminal,0.0696286,0.061344
42,20,1000,CASTLES-Pro,02,internal,0.02552578,0.024579
43,20,1000,CASTLES-Pro,02,terminal,0.00476343,0.004425
44,20,1000,CASTLES-Pro,02,terminal,0.00330694,0.006376
45,20,1000,CASTLES-Pro,02,internal,0.08648333,0.06505
46,20,1000,CASTLES-Pro,02,internal,0.03135722,0.069425
47,20,1000,CASTLES-Pro,02,terminal,0.05141756,0.017958
48,20,1000,CASTLES-Pro,02,terminal,0.01266171,0.013294
49,20,1000,CASTLES-Pro,02,internal,0.08630265,0.097997
50,20,1000,CASTLES-Pro,02,internal,0.39817803,0.245982
51,20,1000,CASTLES-Pro,02,terminal,0.01970789,0.001778
52,20,1000,CASTLES-Pro,02,terminal,0.01782021,0.000878
53,20,1000,CASTLES-Pro,02,internal,0.06241588,0.074064
54,20,1000,CASTLES-Pro,02,terminal,0.00061278,0.00191
55,20,1000,CASTLES-Pro,02,terminal,0.00093942,0.000183
56,20,1000,CASTLES-Pro,02,internal,0.05664741,0.04788
57,20,1000,CASTLES-Pro,02,terminal,0.02005109,0.020481
58,20,1000,CASTLES-Pro,02,terminal,0.00462471,0.009511
59,20,1000,CASTLES-Pro,02,terminal,0.00011346,0.002604
60,20,1000,CASTLES-Pro,02,terminal,0.00027642,0.002937
61,20,1000,CASTLES-Pro,02,internal,0.00811088,0.015479
62,20,1000,CASTLES-Pro,02,internal,0.02458665,0.021329
63,20,1000,CASTLES-Pro,02,terminal,0.03740587,0.039799
64,20,1000,CASTLES-Pro,02,internal,0.00073712,0.005681
65,20,1000,CASTLES-Pro,02,internal,0.01534328,0.025414
66,20,1000,CASTLES-Pro,02,internal,0.03859283,0.043203
67,20,1000,CASTLES-Pro,02,terminal,0.03571854,0.028505
68,20,1000,CASTLES-Pro,02,terminal,0.0113948,0.012307
69,20,1000,CASTLES-Pro,02,terminal,0.01127168,0.010184
70,20,1000,CASTLES-Pro,02,internal,0.0344399,0.029182
71,20,1000,CASTLES-Pro,02,internal,0.01254277,0.025292
72,20,1000,CASTLES-Pro,02,terminal,0.05744641,0.053389
73,20,1000,CASTLES-Pro,02,internal,0.00239955,0.014328
74,20,1000,CASTLES-Pro,02,internal,0.0298906,0.048781
75,20,1000,CASTLES-Pro,02,internal,0.43393732,0.332045
76,20,1000,CASTLES-Pro,03,terminal,0.00959076,0.000204
77,20,1000,CASTLES-Pro,03,terminal,0.00390935,0.005657
78,20,1000,CASTLES-Pro,03,internal,0.0246099,0.039633
79,20,1000,CASTLES-Pro,03,terminal,0.07012802,0.049886
80,20,1000,CASTLES-Pro,03,internal,0.13112612,0.102
81,20,1000,CASTLES-Pro,03,terminal,0.01144842,0.004928
82,20,1000,CASTLES-Pro,03,terminal,0.01447313,0.007009
83,20,1000,CASTLES-Pro,03,internal,0.04939367,0.044708
84,20,1000,CASTLES-Pro,03,terminal,0.04574057,0.039605
85,20,1000,CASTLES-Pro,03,terminal,0.01646652,0.012769
86,20,1000,CASTLES-Pro,03,terminal,0.00064139,0.002408
87,20,1000,CASTLES-Pro,03,terminal,0.00136862,0.001961
88,20,1000,CASTLES-Pro,03,internal,0.03396352,0.025251
89,20,1000,CASTLES-Pro,03,internal,0.0031615,0.011202
90,20,1000,CASTLES-Pro,03,internal,0.00645519,0.011876
91,20,1000,CASTLES-Pro,03,terminal,0.02909832,0.026461
92,20,1000,CASTLES-Pro,03,internal,0.02268926,0.024638
93,20,1000,CASTLES-Pro,03,terminal,0.03637176,0.034036
94,20,1000,CASTLES-Pro,03,internal,0.00421596,0.014708
95,20,1000,CASTLES-Pro,03,terminal,0.00135248,0.00085
96,20,1000,CASTLES-Pro,03,terminal,0.01489145,0.01455
97,20,1000,CASTLES-Pro,03,internal,0.02216182,0.019402
98,20,1000,CASTLES-Pro,03,terminal,0.01736755,0.018317
99,20,1000,CASTLES-Pro,03,terminal,0.01932006,0.019332
100,20,1000,CASTLES-Pro,03,terminal,0.00655942,0.006051
101,20,1000,CASTLES-Pro,03,internal,0.02734009,0.025704
102,20,1000,CASTLES-Pro,03,internal,0.01950685,0.017651
103,20,1000,CASTLES-Pro,03,internal,0.01099342,0.024043
104,20,1000,CASTLES-Pro,03,internal,0.00343825,0.006327
105,20,1000,CASTLES-Pro,03,terminal,0.01026133,0.008807
106,20,1000,CASTLES-Pro,03,terminal,0.01397863,0.011246
107,20,1000,CASTLES-Pro,03,internal,0.05416856,0.043011
108,20,1000,CASTLES-Pro,03,internal,0.02780363,0.031629
109,20,1000,CASTLES-Pro,03,internal,0.02356748,0.05709
110,20,1000,CASTLES-Pro,03,internal,0.42076085,0.28861
111,20,1000,CASTLES-Pro,03,terminal,0.03427931,0.056244
112,20,1000,CASTLES-Pro,03,terminal,0.06259661,0.029593
113,20,1000,CASTLES-Pro,03,internal,0.4124328,0.256832
114,20,1000,CASTLES-Pro,04,terminal,0.01768782,0.015557
115,20,1000,CASTLES-Pro,04,terminal,0.04728566,0.048033
116,20,1000,CASTLES-Pro,04,internal,0.01854698,0.019033
117,20,1000,CASTLES-Pro,04,terminal,0.02256859,0.003654
118,20,1000,CASTLES-Pro,04,internal,0.06906428,0.085173
119,20,1000,CASTLES-Pro,04,terminal,0.02719708,0.017043
120,20,1000,CASTLES-Pro,04,terminal,0.01707016,0.01407
121,20,1000,CASTLES-Pro,04,terminal,0.01937271,0.015403
122,20,1000,CASTLES-Pro,04,internal,0.00456038,0.010425
123,20,1000,CASTLES-Pro,04,terminal,0.02111962,0.023443
124,20,1000,CASTLES-Pro,04,terminal,0.00757201,0.010782
125,20,1000,CASTLES-Pro,04,internal,0.02800119,0.02197
126,20,1000,CASTLES-Pro,04,internal,0.00559385,0.009644
127,20,1000,CASTLES-Pro,04,internal,0.06043293,0.055037
128,20,1000,CASTLES-Pro,04,terminal,0.03008551,0.031658
129,20,1000,CASTLES-Pro,04,terminal,0.02488669,0.023658
130,20,1000,CASTLES-Pro,04,terminal,0.01476302,0.013856
131,20,1000,CASTLES-Pro,04,terminal,0.00837598,0.008186
132,20,1000,CASTLES-Pro,04,internal,0.00219691,0.00446
133,20,1000,CASTLES-Pro,04,internal,0.01790287,0.021346
134,20,1000,CASTLES-Pro,04,internal,0.01982398,0.020994
135,20,1000,CASTLES-Pro,04,terminal,0.03042016,0.024064
136,20,1000,CASTLES-Pro,04,terminal,0.03762676,0.028143
137,20,1000,CASTLES-Pro,04,internal,0.00614903,0.018872
138,20,1000,CASTLES-Pro,04,internal,0.02087823,0.020626
139,20,1000,CASTLES-Pro,04,terminal,0.05255097,0.038907
140,20,1000,CASTLES-Pro,04,internal,0.02506483,0.03671
141,20,1000,CASTLES-Pro,04,internal,0.0242698,0.051793
142,20,1000,CASTLES-Pro,04,internal,0.88756579,0.541326
143,20,1000,CASTLES-Pro,04,terminal,0.05973706,0.07726
144,20,1000,CASTLES-Pro,04,terminal,0.01192794,0.006909
145,20,1000,CASTLES-Pro,04,terminal,0.00507826,0.003947
146,20,1000,CASTLES-Pro,04,terminal,0.00237339,0.001273
147,20,1000,CASTLES-Pro,04,internal,0.01177687,0.012404
148,20,1000,CASTLES-Pro,04,internal,0.0711285,0.071568
149,20,1000,CASTLES-Pro,04,terminal,0.12276375,0.092611
150,20,1000,CASTLES-Pro,04,internal,0.04677872,0.054625
151,20,1000,CASTLES-Pro,04,internal,0.5723584,0.437394
152,20,1000,CASTLES-Pro,05,terminal,0.00199074,0.007628
153,20,1000,CASTLES-Pro,05,terminal,0.00548684,0.010977
154,20,1000,CASTLES-Pro,05,internal,0.00697891,0.001181
155,20,1000,CASTLES-Pro,05,terminal,0.02979661,0.003337
156,20,1000,CASTLES-Pro,05,internal,0.13778397,0.117928
157,20,1000,CASTLES-Pro,05,terminal,0.04786308,0.014291
158,20,1000,CASTLES-Pro,05,terminal,0.01084848,0.002222
159,20,1000,CASTLES-Pro,05,terminal,0.00642857,0.00053
160,20,1000,CASTLES-Pro,05,internal,0.04216682,0.036314
161,20,1000,CASTLES-Pro,05,internal,0.09966,0.11699
162,20,1000,CASTLES-Pro,05,internal,0.44081811,0.321691
163,20,1000,CASTLES-Pro,05,terminal,0.01380592,0.004024
164,20,1000,CASTLES-Pro,05,terminal,0.01493083,0.001837
165,20,1000,CASTLES-Pro,05,internal,0.05170567,0.060816
166,20,1000,CASTLES-Pro,05,terminal,0.00479046,0.002831
167,20,1000,CASTLES-Pro,05,terminal,0.00349059,7e-06
168,20,1000,CASTLES-Pro,05,internal,0.00827896,0.014095
169,20,1000,CASTLES-Pro,05,terminal,0.03818947,0.036644
170,20,1000,CASTLES-Pro,05,terminal,0.02557478,0.02086
171,20,1000,CASTLES-Pro,05,internal,0.00825399,0.015634
172,20,1000,CASTLES-Pro,05,internal,0.03751043,0.033259
173,20,1000,CASTLES-Pro,05,terminal,0.04768058,0.047731
174,20,1000,CASTLES-Pro,05,terminal,0.02276775,0.020555
175,20,1000,CASTLES-Pro,05,terminal,0.00670385,0.00564
176,20,1000,CASTLES-Pro,05,internal,0.03492565,0.030378
177,20,1000,CASTLES-Pro,05,internal,0.01455338,0.015289
178,20,1000,CASTLES-Pro,05,internal,0.03392851,0.040803
179,20,1000,CASTLES-Pro,05,terminal,0.02499176,0.023732
180,20,1000,CASTLES-Pro,05,terminal,0.01005741,0.009508
181,20,1000,CASTLES-Pro,05,terminal,0.01275677,0.014025
182,20,1000,CASTLES-Pro,05,internal,0.01465285,0.012361
183,20,1000,CASTLES-Pro,05,internal,0.01679905,0.02365
184,20,1000,CASTLES-Pro,05,terminal,0.06078887,0.056945
185,20,1000,CASTLES-Pro,05,terminal,0.03425021,0.02583
186,20,1000,CASTLES-Pro,05,internal,0.02138575,0.026221
187,20,1000,CASTLES-Pro,05,internal,0.04056324,0.04663
188,20,1000,CASTLES-Pro,05,internal,0.0018968,0.001336
189,20,1000,CASTLES-Pro,05,internal,0.51403912,0.316363
190,20,1000,CASTLES-Pro,06,terminal,0.05957259,0.051467
191,20,1000,CASTLES-Pro,06,terminal,0.02773159,0.020601
192,20,1000,CASTLES-Pro,06,internal,0.01422998,0.018728
193,20,1000,CASTLES-Pro,06,terminal,0.05886113,0.05467
194,20,1000,CASTLES-Pro,06,terminal,0.02430392,0.020146
195,20,1000,CASTLES-Pro,06,internal,0.04118816,0.032954
196,20,1000,CASTLES-Pro,06,internal,0.07949563,0.077751
197,20,1000,CASTLES-Pro,06,terminal,0.04227952,0.026461
198,20,1000,CASTLES-Pro,06,terminal,0.01511366,0.004107
199,20,1000,CASTLES-Pro,06,internal,0.1675531,0.108742
200,20,1000,CASTLES-Pro,06,internal,0.00810382,0.008071
201,20,1000,CASTLES-Pro,06,terminal,0.06872373,0.052749
202,20,1000,CASTLES-Pro,06,terminal,0.02871917,0.027785
203,20,1000,CASTLES-Pro,06,terminal,0.03222781,0.030188
204,20,1000,CASTLES-Pro,06,terminal,0.0133589,0.012454
205,20,1000,CASTLES-Pro,06,internal,0.00466371,0.012093
206,20,1000,CASTLES-Pro,06,internal,0.00322509,0.001601
207,20,1000,CASTLES-Pro,06,terminal,0.02566587,0.021142
208,20,1000,CASTLES-Pro,06,internal,0.06364584,0.047144
209,20,1000,CASTLES-Pro,06,terminal,0.01951526,0.022753
210,20,1000,CASTLES-Pro,06,terminal,0.02808341,0.025236
211,20,1000,CASTLES-Pro,06,terminal,0.02269104,0.023524
212,20,1000,CASTLES-Pro,06,internal,0.00040739,0.007081
213,20,1000,CASTLES-Pro,06,internal,0.0078753,0.008214
214,20,1000,CASTLES-Pro,06,terminal,0.04941556,0.04119
215,20,1000,CASTLES-Pro,06,internal,0.0336964,0.03001
216,20,1000,CASTLES-Pro,06,internal,0.01940949,0.033349
217,20,1000,CASTLES-Pro,06,internal,0.04138966,0.058857
218,20,1000,CASTLES-Pro,06,internal,0.2459414,0.165426
219,20,1000,CASTLES-Pro,06,terminal,0.00307199,0.00491
220,20,1000,CASTLES-Pro,06,terminal,0.00237281,0.004437
221,20,1000,CASTLES-Pro,06,internal,0.03643136,0.039485
222,20,1000,CASTLES-Pro,06,terminal,0.05255452,0.061787
223,20,1000,CASTLES-Pro,06,terminal,0.00858611,0.003701
224,20,1000,CASTLES-Pro,06,terminal,0.02695226,0.023066
225,20,1000,CASTLES-Pro,06,internal,0.03919691,0.043326
226,20,1000,CASTLES-Pro,06,internal,0.00173509,0.001253
227,20,1000,CASTLES-Pro,06,internal,0.42292243,0.274958
228,20,1000,CASTLES-Pro,07,terminal,0.11245208,0.099367
229,20,1000,CASTLES-Pro,07,terminal,0.17217022,0.139327
230,20,1000,CASTLES-Pro,07,internal,0.05500427,0.032211
231,20,1000,CASTLES-Pro,07,terminal,0.02254465,0.019466
232,20,1000,CASTLES-Pro,07,terminal,0.01164191,0.00477
233,20,1000,CASTLES-Pro,07,terminal,0.01332474,0.006115
234,20,1000,CASTLES-Pro,07,internal,0.0029937,0.014262
235,20,1000,CASTLES-Pro,07,terminal,0.00405003,0.003872
236,20,1000,CASTLES-Pro,07,internal,0.02467477,0.027933
237,20,1000,CASTLES-Pro,07,internal,0.00457094,0.019065
238,20,1000,CASTLES-Pro,07,terminal,0.02213106,0.026587
239,20,1000,CASTLES-Pro,07,internal,0.00420153,0.014512
240,20,1000,CASTLES-Pro,07,terminal,0.03546221,0.034158
241,20,1000,CASTLES-Pro,07,internal,0.12589044,0.090445
242,20,1000,CASTLES-Pro,07,terminal,0.02883303,0.031347
243,20,1000,CASTLES-Pro,07,terminal,0.0114897,0.008965
244,20,1000,CASTLES-Pro,07,internal,0.00408319,0.011644
245,20,1000,CASTLES-Pro,07,terminal,0.02546444,0.022091
246,20,1000,CASTLES-Pro,07,internal,0.09313221,0.065001
247,20,1000,CASTLES-Pro,07,internal,0.01322746,0.008703
248,20,1000,CASTLES-Pro,07,internal,0.00649594,0.021934
249,20,1000,CASTLES-Pro,07,terminal,0.02007567,0.027418
250,20,1000,CASTLES-Pro,07,terminal,0.00306323,0.000345
251,20,1000,CASTLES-Pro,07,terminal,0.00660872,0.003337
252,20,1000,CASTLES-Pro,07,internal,0.0059667,0.012172
253,20,1000,CASTLES-Pro,07,terminal,0.03864717,0.043211
254,20,1000,CASTLES-Pro,07,internal,0.02067411,0.024757
255,20,1000,CASTLES-Pro,07,internal,0.00847642,0.014509
256,20,1000,CASTLES-Pro,07,terminal,0.02671847,0.027199
257,20,1000,CASTLES-Pro,07,terminal,0.00163512,0.000615
258,20,1000,CASTLES-Pro,07,internal,0.05488695,0.042436
259,20,1000,CASTLES-Pro,07,internal,0.07400382,0.091141
260,20,1000,CASTLES-Pro,07,internal,0.39104043,0.287938
261,20,1000,CASTLES-Pro,07,terminal,0.00549778,0.013337
262,20,1000,CASTLES-Pro,07,terminal,0.00390822,0.013685
263,20,1000,CASTLES-Pro,07,internal,0.12965048,0.085545
264,20,1000,CASTLES-Pro,07,terminal,0.07452599,0.01235
265,20,1000,CASTLES-Pro,07,internal,0.14937057,0.139459
266,20,1000,CASTLES-Pro,08,terminal,0.0166662,0.009549
267,20,1000,CASTLES-Pro,08,terminal,0.00672894,0.003968
268,20,1000,CASTLES-Pro,08,terminal,0.00506467,0.004753
269,20,1000,CASTLES-Pro,08,internal,0.01229041,0.017397
270,20,1000,CASTLES-Pro,08,internal,0.17655178,0.112412
271,20,1000,CASTLES-Pro,08,terminal,0.06054884,0.041458
272,20,1000,CASTLES-Pro,08,terminal,0.10405563,0.079595
273,20,1000,CASTLES-Pro,08,internal,0.10711481,0.088621
274,20,1000,CASTLES-Pro,08,internal,0.00147019,0.001351
275,20,1000,CASTLES-Pro,08,terminal,0.10347234,0.084816
276,20,1000,CASTLES-Pro,08,terminal,0.10630251,0.088747
277,20,1000,CASTLES-Pro,08,internal,0.05579186,0.059978
278,20,1000,CASTLES-Pro,08,internal,0.05011666,0.048628
279,20,1000,CASTLES-Pro,08,terminal,0.05056702,0.040289
280,20,1000,CASTLES-Pro,08,terminal,0.02404414,0.026083
281,20,1000,CASTLES-Pro,08,terminal,0.00679053,0.00821
282,20,1000,CASTLES-Pro,08,terminal,0.01540751,0.015645
283,20,1000,CASTLES-Pro,08,internal,0.00865996,0.011666
284,20,1000,CASTLES-Pro,08,internal,0.02205958,0.021242
285,20,1000,CASTLES-Pro,08,internal,0.03772097,0.047205
286,20,1000,CASTLES-Pro,08,terminal,0.0173409,0.012161
287,20,1000,CASTLES-Pro,08,terminal,0.00268134,0.000503
288,20,1000,CASTLES-Pro,08,terminal,0.00552254,0.003042
289,20,1000,CASTLES-Pro,08,internal,0.00999381,0.017443
290,20,1000,CASTLES-Pro,08,terminal,0.00948012,0.012555
291,20,1000,CASTLES-Pro,08,internal,0.02161569,0.019778
292,20,1000,CASTLES-Pro,08,internal,0.05422902,0.051677
293,20,1000,CASTLES-Pro,08,terminal,0.11503886,0.106544
294,20,1000,CASTLES-Pro,08,internal,0.01548116,0.029611
295,20,1000,CASTLES-Pro,08,terminal,0.01132028,0.008165
296,20,1000,CASTLES-Pro,08,terminal,0.02137037,0.019096
297,20,1000,CASTLES-Pro,08,internal,0.0962457,0.072173
298,20,1000,CASTLES-Pro,08,internal,0.00492346,0.019216
299,20,1000,CASTLES-Pro,08,internal,0.02433629,0.035808
300,20,1000,CASTLES-Pro,08,terminal,0.13450313,0.098416
301,20,1000,CASTLES-Pro,08,internal,0.11098864,0.097406
302,20,1000,CASTLES-Pro,08,internal,0.18352098,0.068441
303,20,1000,CASTLES-Pro,08,terminal,0.29781081,0.561796
304,20,1000,CASTLES-Pro,09,terminal,0.00524296,0.017528
305,20,1000,CASTLES-Pro,09,terminal,0.00416892,0.019637
306,20,1000,CASTLES-Pro,09,internal,0.13014542,0.097368
307,20,1000,CASTLES-Pro,09,terminal,0.02748105,0.011279
308,20,1000,CASTLES-Pro,09,terminal,0.04003209,0.000434
309,20,1000,CASTLES-Pro,09,internal,0.13207182,0.131634
310,20,1000,CASTLES-Pro,09,internal,0.33349016,0.312845
311,20,1000,CASTLES-Pro,09,terminal,0.01919673,0.022699
312,20,1000,CASTLES-Pro,09,terminal,0.00514374,0.002856
313,20,1000,CASTLES-Pro,09,terminal,0.00705394,0.004207
314,20,1000,CASTLES-Pro,09,internal,0.00941844,0.015123
315,20,1000,CASTLES-Pro,09,internal,0.03277198,0.025932
316,20,1000,CASTLES-Pro,09,terminal,0.04569696,0.039513
317,20,1000,CASTLES-Pro,09,internal,0.04884033,0.047972
318,20,1000,CASTLES-Pro,09,terminal,0.01003376,0.0021
319,20,1000,CASTLES-Pro,09,terminal,0.01329228,0.008448
320,20,1000,CASTLES-Pro,09,internal,0.08054066,0.061439
321,20,1000,CASTLES-Pro,09,internal,0.03647963,0.032128
322,20,1000,CASTLES-Pro,09,terminal,0.03382936,0.020474
323,20,1000,CASTLES-Pro,09,terminal,0.03298161,0.019454
324,20,1000,CASTLES-Pro,09,internal,0.06888071,0.065954
325,20,1000,CASTLES-Pro,09,internal,0.05710604,0.046918
326,20,1000,CASTLES-Pro,09,terminal,0.04099977,0.039004
327,20,1000,CASTLES-Pro,09,terminal,0.04659008,0.041589
328,20,1000,CASTLES-Pro,09,internal,0.05352457,0.044999
329,20,1000,CASTLES-Pro,09,terminal,0.06856475,0.062955
330,20,1000,CASTLES-Pro,09,terminal,0.06976022,0.07707
331,20,1000,CASTLES-Pro,09,internal,0.00496704,0.009416
332,20,1000,CASTLES-Pro,09,internal,0.03817054,0.046086
333,20,1000,CASTLES-Pro,09,terminal,0.04747161,0.043414
334,20,1000,CASTLES-Pro,09,terminal,0.05290017,0.046084
335,20,1000,CASTLES-Pro,09,internal,0.05507545,0.045474
336,20,1000,CASTLES-Pro,09,terminal,0.0826045,0.060783
337,20,1000,CASTLES-Pro,09,terminal,0.08977567,0.07259
338,20,1000,CASTLES-Pro,09,internal,0.00666355,0.017457
339,20,1000,CASTLES-Pro,09,internal,0.03519871,0.040143
340,20,1000,CASTLES-Pro,09,internal,0.07912985,0.081058
341,20,1000,CASTLES-Pro,09,internal,0.30224485,0.29737
342,20,1000,CASTLES-Pro,10,terminal,0.03506517,0.017839
343,20,1000,CASTLES-Pro,10,terminal,0.08578643,0.059622
344,20,1000,CASTLES-Pro,10,internal,0.06506363,0.067383
345,20,1000,CASTLES-Pro,10,terminal,0.00149767,0.00892
346,20,1000,CASTLES-Pro,10,terminal,0.00248501,0.007828
347,20,1000,CASTLES-Pro,10,internal,0.04474636,0.046999
348,20,1000,CASTLES-Pro,10,internal,0.23603052,0.176583
349,20,1000,CASTLES-Pro,10,terminal,0.03671204,0.021451
350,20,1000,CASTLES-Pro,10,terminal,0.05224522,0.057796
351,20,1000,CASTLES-Pro,10,terminal,0.00780231,0.004283
352,20,1000,CASTLES-Pro,10,terminal,0.00995088,0.005176
353,20,1000,CASTLES-Pro,10,internal,0.05439456,0.045977
354,20,1000,CASTLES-Pro,10,terminal,0.05221523,0.045279
355,20,1000,CASTLES-Pro,10,terminal,0.01725962,0.012313
356,20,1000,CASTLES-Pro,10,internal,0.00695854,0.014029
357,20,1000,CASTLES-Pro,10,terminal,0.01861011,0.016045
358,20,1000,CASTLES-Pro,10,internal,0.02317888,0.026493
359,20,1000,CASTLES-Pro,10,terminal,0.00210687,0.002017
360,20,1000,CASTLES-Pro,10,terminal,0.00350783,0.002848
361,20,1000,CASTLES-Pro,10,internal,0.04128882,0.031071
362,20,1000,CASTLES-Pro,10,terminal,0.02287962,0.015082
363,20,1000,CASTLES-Pro,10,terminal,0.03985468,0.027288
364,20,1000,CASTLES-Pro,10,internal,0.00690931,0.018581
365,20,1000,CASTLES-Pro,10,internal,0.01581662,0.018146
366,20,1000,CASTLES-Pro,10,internal,0.00710594,0.017484
367,20,1000,CASTLES-Pro,10,internal,0.00276661,0.007102
368,20,1000,CASTLES-Pro,10,internal,0.00031157,0.003628
369,20,1000,CASTLES-Pro,10,internal,0.11237948,0.086183
370,20,1000,CASTLES-Pro,10,terminal,0.01199988,0.013417
371,20,1000,CASTLES-Pro,10,terminal,0.00724277,0.009036
372,20,1000,CASTLES-Pro,10,internal,0.01297441,0.008604
373,20,1000,CASTLES-Pro,10,terminal,0.02594149,0.01193
374,20,1000,CASTLES-Pro,10,internal,0.05035045,0.049341
375,20,1000,CASTLES-Pro,10,internal,0.02227735,0.063459
376,20,1000,CASTLES-Pro,10,internal,0.33868631,0.224686
377,20,1000,CASTLES-Pro,10,terminal,0.04491328,0.011332
378,20,1000,CASTLES-Pro,10,terminal,0.04876127,0.008686
379,20,1000,CASTLES-Pro,10,internal,1.06495526,0.299919
380,20,1000,CASTLES-DISCO,01,terminal,0.00480533,0.011964694770823391
381,20,1000,CASTLES-DISCO,01,terminal,0.00134662,0.009745320605505868
382,20,1000,CASTLES-DISCO,01,internal,0.02048887,0.014774737158531214
383,20,1000,CASTLES-DISCO,01,terminal,0.0511101,0.041061739906485845
384,20,1000,CASTLES-DISCO,01,internal,0.00339005,0.0166966151487708
385,20,1000,CASTLES-DISCO,01,terminal,0.01682875,0.020496694486935297
386,20,1000,CASTLES-DISCO,01,terminal,0.0301089,0.029116096093654568
387,20,1000,CASTLES-DISCO,01,internal,0.00746509,0.009916446897688145
388,20,1000,CASTLES-DISCO,01,internal,0.05743881,0.08291535140455278
389,20,1000,CASTLES-DISCO,01,terminal,0.06298128,0.06870060114321952
390,20,1000,CASTLES-DISCO,01,internal,0.00133221,0.0017796643667825204
391,20,1000,CASTLES-DISCO,01,terminal,0.03082297,0.031957153337701216
392,20,1000,CASTLES-DISCO,01,terminal,0.03017272,0.029655555585339083
393,20,1000,CASTLES-DISCO,01,internal,0.05264539,0.07000926420229922
394,20,1000,CASTLES-DISCO,01,internal,0.14455498,0.1584814962608702
395,20,1000,CASTLES-DISCO,01,terminal,0.05219861,0.03985466528136776
396,20,1000,CASTLES-DISCO,01,terminal,0.16240299,0.11766189370850935
