,Condition,num_genes,Method,replicate,Branch Type,l-true,l-est
0,500bp,1000,CASTLES-Pro,01,terminal,0.09832507,0.088977
1,500bp,1000,CASTLES-Pro,01,terminal,0.17693598,0.150115
2,500bp,1000,CASTLES-Pro,01,internal,0.07905508,0.055647
3,500bp,1000,CASTLES-Pro,01,terminal,0.19988018,0.17705
4,500bp,1000,CASTLES-Pro,01,terminal,0.06923615,0.064066
5,500bp,1000,CASTLES-Pro,01,terminal,0.01076866,0.007812
6,500bp,1000,CASTLES-Pro,01,terminal,0.00599643,0.003676
7,500bp,1000,CASTLES-Pro,01,internal,0.01132899,0.01514
8,500bp,1000,CASTLES-Pro,01,internal,0.00378576,0.018456
9,500bp,1000,CASTLES-Pro,01,internal,0.02848246,0.017481
10,500bp,1000,CASTLES-Pro,01,terminal,0.02874803,0.034987
11,500bp,1000,CASTLES-Pro,01,terminal,0.0259027,0.028362
12,500bp,1000,CASTLES-Pro,01,internal,0.04770004,0.032017
13,500bp,1000,CASTLES-Pro,01,terminal,0.03443568,0.036299
14,500bp,1000,CASTLES-Pro,01,terminal,0.00681708,0.011123
15,500bp,1000,CASTLES-Pro,01,internal,0.0900837,0.060605
16,500bp,1000,CASTLES-Pro,01,internal,0.01701571,0.015622
17,500bp,1000,CASTLES-Pro,01,internal,0.00026508,0.007592
18,500bp,1000,CASTLES-Pro,01,terminal,0.06432235,0.057211
19,500bp,1000,CASTLES-Pro,01,internal,0.03267542,0.023505
20,500bp,1000,CASTLES-Pro,01,terminal,0.01798076,0.015955
21,500bp,1000,CASTLES-Pro,01,terminal,0.03293097,0.039303
22,500bp,1000,CASTLES-Pro,01,terminal,0.01621414,0.020911
23,500bp,1000,CASTLES-Pro,01,internal,0.03320696,0.015118
24,500bp,1000,CASTLES-Pro,01,internal,0.01079716,0.012569
25,500bp,1000,CASTLES-Pro,01,internal,0.00258372,0.010208
26,500bp,1000,CASTLES-Pro,01,internal,0.03510243,0.079357
27,500bp,1000,CASTLES-Pro,01,terminal,0.02388138,0.022865
28,500bp,1000,CASTLES-Pro,01,terminal,0.01840908,0.015558
29,500bp,1000,CASTLES-Pro,01,internal,0.00104231,0.00416
30,500bp,1000,CASTLES-Pro,01,terminal,0.00028047,0.002804
31,500bp,1000,CASTLES-Pro,01,terminal,0.01310204,0.016722
32,500bp,1000,CASTLES-Pro,01,internal,0.01213058,0.007394
33,500bp,1000,CASTLES-Pro,01,terminal,0.00741346,0.002733
34,500bp,1000,CASTLES-Pro,01,internal,0.00014697,0.008981
35,500bp,1000,CASTLES-Pro,01,internal,0.02127102,0.037464
36,500bp,1000,CASTLES-Pro,01,terminal,0.08100485,0.070256
37,500bp,1000,CASTLES-Pro,01,terminal,0.03259682,0.025986
38,500bp,1000,CASTLES-Pro,01,internal,0.01525669,0.02531
39,500bp,1000,CASTLES-Pro,01,terminal,0.0456377,0.040209
40,500bp,1000,CASTLES-Pro,01,internal,0.01175951,0.024331
41,500bp,1000,CASTLES-Pro,01,terminal,0.22076643,0.193917
42,500bp,1000,CASTLES-Pro,01,internal,0.04222461,0.040347
43,500bp,1000,CASTLES-Pro,01,internal,0.07716669,0.069937
44,500bp,1000,CASTLES-Pro,01,terminal,0.00488837,0.001438
45,500bp,1000,CASTLES-Pro,01,terminal,0.00787628,0.002099
46,500bp,1000,CASTLES-Pro,01,internal,0.00436615,0.016795
47,500bp,1000,CASTLES-Pro,01,terminal,0.00526247,0.008002
48,500bp,1000,CASTLES-Pro,01,internal,0.01110155,0.010975
49,500bp,1000,CASTLES-Pro,01,terminal,0.00715837,0.010859
50,500bp,1000,CASTLES-Pro,01,internal,0.08358033,0.059772
51,500bp,1000,CASTLES-Pro,01,terminal,0.0262318,0.032639
52,500bp,1000,CASTLES-Pro,01,terminal,0.00070127,0.001822
53,500bp,1000,CASTLES-Pro,01,terminal,0.00407039,0.001251
54,500bp,1000,CASTLES-Pro,01,internal,0.00720835,0.014375
55,500bp,1000,CASTLES-Pro,01,internal,0.0235542,0.010937
56,500bp,1000,CASTLES-Pro,01,terminal,0.01036246,0.010966
57,500bp,1000,CASTLES-Pro,01,terminal,0.03919053,0.04021
58,500bp,1000,CASTLES-Pro,01,internal,0.00318879,0.003555
59,500bp,1000,CASTLES-Pro,01,terminal,0.03368812,0.038327
60,500bp,1000,CASTLES-Pro,01,terminal,0.00359972,0.00653
61,500bp,1000,CASTLES-Pro,01,internal,0.00996467,0.008649
62,500bp,1000,CASTLES-Pro,01,internal,0.00509363,0.003922
63,500bp,1000,CASTLES-Pro,01,internal,0.00779964,0.011189
64,500bp,1000,CASTLES-Pro,01,internal,0.00856374,0.029027
65,500bp,1000,CASTLES-Pro,01,internal,0.08467085,0.082759
66,500bp,1000,CASTLES-Pro,01,terminal,0.11269139,0.108377
67,500bp,1000,CASTLES-Pro,01,terminal,0.00149965,0.000775
68,500bp,1000,CASTLES-Pro,01,terminal,0.04462894,0.045924
69,500bp,1000,CASTLES-Pro,01,internal,0.00929462,0.010668
70,500bp,1000,CASTLES-Pro,01,internal,0.01177779,0.014917
71,500bp,1000,CASTLES-Pro,01,terminal,0.00079281,0.001713
72,500bp,1000,CASTLES-Pro,01,terminal,0.03774313,0.039317
73,500bp,1000,CASTLES-Pro,01,internal,0.06846745,0.048669
74,500bp,1000,CASTLES-Pro,01,terminal,0.00155743,0.008494
75,500bp,1000,CASTLES-Pro,01,terminal,0.0003463,0.009121
76,500bp,1000,CASTLES-Pro,01,internal,0.18027542,0.109394
77,500bp,1000,CASTLES-Pro,01,internal,0.00046429,0.003403
78,500bp,1000,CASTLES-Pro,01,internal,0.01043561,0.017136
79,500bp,1000,CASTLES-Pro,01,terminal,0.3533513,0.286953
80,500bp,1000,CASTLES-Pro,01,internal,0.02199572,0.026281
81,500bp,1000,CASTLES-Pro,01,terminal,0.01697152,0.01484
82,500bp,1000,CASTLES-Pro,01,terminal,0.03178419,0.030122
83,500bp,1000,CASTLES-Pro,01,internal,0.08892682,0.072223
84,500bp,1000,CASTLES-Pro,01,terminal,0.0417792,0.029147
85,500bp,1000,CASTLES-Pro,01,terminal,0.00014386,0.001177
86,500bp,1000,CASTLES-Pro,01,terminal,0.00087479,1.6e-05
87,500bp,1000,CASTLES-Pro,01,internal,0.00656276,0.008206
88,500bp,1000,CASTLES-Pro,01,terminal,0.00782033,0.00944
