Dataset,Method,RTT,
Birds,Concatenation,0.124881,
Birds,Concatenation,0.114898,
Birds,Concatenation,0.119289,
Birds,Concatenation,0.106752,
Birds,Concatenation,0.10685,
Birds,Concatenation,0.10759,
Birds,Concatenation,0.107089,
Birds,Concatenation,0.15317,
Birds,Concatenation,0.153284,
Birds,Concatenation,0.239912,
Birds,Concatenation,0.2387,
Birds,Concatenation,0.236922,
Birds,Concatenation,0.236929,
Birds,Concatenation,0.211373,
Birds,Concatenation,0.211495,
Birds,Concatenation,0.218712,
Birds,Concatenation,0.228421,
Birds,Concatenation,0.22672,
Birds,Concatenation,0.22608,
Birds,Concatenation,0.139504,
Birds,Concatenation,0.170219,
Birds,Concatenation,0.176998,
Birds,Concatenation,0.232304,
Birds,Concatenation,0.250631,
Birds,Concatenation,0.252654,
Birds,Concatenation,0.264531,
Birds,Concatenation,0.275462,
Birds,Concatenation,0.267755,
Birds,Concatenation,0.273101,
Birds,Concatenation,0.276951,
Birds,Concatenation,0.277208,
Birds,Concatenation,0.273694,
Birds,Concatenation,0.277496,
Birds,Concatenation,0.27518,
Birds,Concatenation,0.28514,
Birds,Concatenation,0.276207,
Birds,Concatenation,0.283399,
Birds,Concatenation,0.286424,
Birds,Concatenation,0.286068,
Birds,Concatenation,0.291169,
Birds,Concatenation,0.290648,
Birds,Concatenation,0.29042,
Birds,Concatenation,0.282531,
Birds,Concatenation,0.289237,
Birds,Concatenation,0.291229,
Birds,Concatenation,0.28867,
Birds,Concatenation,0.291673,
Birds,Concatenation,0.290011,
Birds,Concatenation,0.290619,
Birds,Concatenation,0.288312,
Birds,Concatenation,0.287998,
Birds,Concatenation,0.29352,
Birds,Concatenation,0.294721,
Birds,Concatenation,0.295254,
Birds,Concatenation,0.295946,
Birds,Concatenation,0.295159,
Birds,Concatenation,0.296132,
Birds,Concatenation,0.287601,
Birds,Concatenation,0.288707,
Birds,Concatenation,0.289087,
Birds,Concatenation,0.275449,
Birds,Concatenation,0.269741,
Birds,Concatenation,0.277628,
Birds,Concatenation,0.277153,
Birds,Concatenation,0.291141,
Birds,Concatenation,0.289647,
Birds,Concatenation,0.284264,
Birds,Concatenation,0.276689,
Birds,Concatenation,0.295615,
Birds,Concatenation,0.273956,
Birds,Concatenation,0.286186,
Birds,Concatenation,0.282272,
Birds,Concatenation,0.287436,
Birds,Concatenation,0.283459,
Birds,Concatenation,0.283489,
Birds,Concatenation,0.306657,
Birds,Concatenation,0.273588,
Birds,Concatenation,0.280425,
Birds,Concatenation,0.276583,
Birds,Concatenation,0.280508,
Birds,Concatenation,0.279949,
Birds,Concatenation,0.291255,
Birds,Concatenation,0.287647,
Birds,Concatenation,0.284537,
Birds,Concatenation,0.285967,
Birds,Concatenation,0.293806,
Birds,Concatenation,0.287193,
Birds,Concatenation,0.289783,
Birds,Concatenation,0.288338,
Birds,Concatenation,0.287296,
Birds,Concatenation,0.27879,
Birds,Concatenation,0.281502,
Birds,Concatenation,0.279377,
Birds,Concatenation,0.2849,
Birds,Concatenation,0.279085,
Birds,Concatenation,0.274756,
Birds,Concatenation,0.276302,
Birds,Concatenation,0.290097,
Birds,Concatenation,0.276791,
Birds,Concatenation,0.278887,
Birds,Concatenation,0.28259,
Birds,Concatenation,0.274951,
Birds,Concatenation,0.284448,
Birds,Concatenation,0.287687,
Birds,Concatenation,0.282642,
Birds,Concatenation,0.281743,
Birds,Concatenation,0.28063,
Birds,Concatenation,0.285795,
Birds,Concatenation,0.281738,
Birds,Concatenation,0.284642,
Birds,Concatenation,0.28233,
Birds,Concatenation,0.284602,
Birds,Concatenation,0.283931,
Birds,Concatenation,0.27943,
Birds,Concatenation,0.291563,
Birds,Concatenation,0.289179,
Birds,Concatenation,0.286046,
Birds,Concatenation,0.286604,
Birds,Concatenation,0.286323,
Birds,Concatenation,0.279378,
Birds,Concatenation,0.280142,
Birds,Concatenation,0.282768,
Birds,Concatenation,0.267396,
Birds,Concatenation,0.272661,
Birds,Concatenation,0.266299,
Birds,Concatenation,0.255682,
Birds,Concatenation,0.268104,
Birds,Concatenation,0.247187,
Birds,Concatenation,0.248127,
Birds,Concatenation,0.256093,
Birds,Concatenation,0.268699,
Birds,Concatenation,0.251186,
Birds,Concatenation,0.258769,
Birds,Concatenation,0.252607,
Birds,Concatenation,0.25396,
Birds,Concatenation,0.249903,
Birds,Concatenation,0.270861,
Birds,Concatenation,0.254958,
Birds,Concatenation,0.254933,
Birds,Concatenation,0.254524,
Birds,Concatenation,0.254303,
Birds,Concatenation,0.250543,
Birds,Concatenation,0.256403,
Birds,Concatenation,0.251356,
Birds,Concatenation,0.251026,
Birds,Concatenation,0.258099,
Birds,Concatenation,0.260695,
Birds,Concatenation,0.262643,
Birds,Concatenation,0.25635,
Birds,Concatenation,0.251657,
Birds,Concatenation,0.252446,
Birds,Concatenation,0.253884,
Birds,Concatenation,0.251466,
Birds,Concatenation,0.255377,
Birds,Concatenation,0.261304,
Birds,Concatenation,0.264341,
Birds,Concatenation,0.270138,
Birds,Concatenation,0.268091,
Birds,Concatenation,0.253418,
Birds,Concatenation,0.263491,
Birds,Concatenation,0.276513,
Birds,Concatenation,0.257212,
Birds,Concatenation,0.260609,
Birds,Concatenation,0.258243,
Birds,Concatenation,0.258227,
Birds,Concatenation,0.250742,
Birds,Concatenation,0.237468,
Birds,Concatenation,0.240654,
Birds,Concatenation,0.225632,
Birds,Concatenation,0.258809,
Birds,Concatenation,0.2595,
Birds,Concatenation,0.253838,
Birds,Concatenation,0.273434,
Birds,Concatenation,0.244893,
Birds,Concatenation,0.254328,
Birds,Concatenation,0.256138,
Birds,Concatenation,0.255332,
Birds,Concatenation,0.25461,
Birds,Concatenation,0.246486,
Birds,Concatenation,0.266563,
Birds,Concatenation,0.247185,
Birds,Concatenation,0.252747,
Birds,Concatenation,0.25427,
Birds,Concatenation,0.252881,
Birds,Concatenation,0.233168,
Birds,Concatenation,0.234288,
Birds,Concatenation,0.236499,
Birds,Concatenation,0.244257,
Birds,Concatenation,0.244443,
Birds,Concatenation,0.241855,
Birds,Concatenation,0.247721,
Birds,Concatenation,0.239264,
Birds,Concatenation,0.248867,
Birds,Concatenation,0.256667,
Birds,Concatenation,0.246786,
Birds,Concatenation,0.20701,
Birds,Concatenation,0.206076,
Birds,Concatenation,0.206994,
Birds,Concatenation,0.22409,
Birds,Concatenation,0.231685,
Birds,Concatenation,0.228111,
Birds,Concatenation,0.161219,
Birds,Concatenation,0.188818,
Birds,Concatenation,0.188854,
Birds,Concatenation,0.164981,
Birds,Concatenation,0.16477,
Birds,Concatenation,0.236097,
Birds,Concatenation,0.240356,
Birds,Concatenation,0.176392,
Birds,Concatenation,0.221063,
Birds,Concatenation,0.217969,
Birds,Concatenation,0.21906,
Birds,Concatenation,0.203083,
Birds,Concatenation,0.314154,
Birds,Concatenation,0.310647,
Birds,Concatenation,0.226842,
Birds,Concatenation,0.207405,
Birds,Concatenation,0.20185,
Birds,Concatenation,0.223038,
Birds,Concatenation,0.220207,
Birds,Concatenation,0.255567,
Birds,Concatenation,0.231729,
Birds,Concatenation,0.212499,
Birds,Concatenation,0.237905,
Birds,Concatenation,0.234155,
Birds,Concatenation,0.271923,
Birds,Concatenation,0.263749,
Birds,Concatenation,0.292537,
Birds,Concatenation,0.291164,
Birds,Concatenation,0.290763,
Birds,Concatenation,0.279295,
Birds,Concatenation,0.289859,
Birds,Concatenation,0.178291,
Birds,Concatenation,0.184191,
Birds,Concatenation,0.161475,
Birds,Concatenation,0.161319,
Birds,Concatenation,0.135444,
Birds,Concatenation,0.157525,
Birds,Concatenation,0.157438,
Birds,Concatenation,0.147363,
Birds,Concatenation,0.152891,
Birds,Concatenation,0.152934,
Birds,Concatenation,0.148612,
Birds,Concatenation,0.149194,
Birds,Concatenation,0.169881,
Birds,Concatenation,0.201019,
Birds,Concatenation,0.197124,
Birds,Concatenation,0.149315,
Birds,Concatenation,0.13737,
Birds,Concatenation,0.140574,
Birds,Concatenation,0.131954,
Birds,Concatenation,0.148023,
Birds,Concatenation,0.149833,
Birds,Concatenation,0.143416,
Birds,Concatenation,0.141975,
Birds,Concatenation,0.142659,
Birds,Concatenation,0.149929,
Birds,Concatenation,0.140096,
Birds,Concatenation,0.146708,
Birds,Concatenation,0.148586,
Birds,Concatenation,0.163099,
Birds,Concatenation,0.171225,
Birds,Concatenation,0.145898,
Birds,Concatenation,0.153568,
Birds,Concatenation,0.165908,
Birds,Concatenation,0.143209,
Birds,Concatenation,0.162202,
Birds,Concatenation,0.163917,
Birds,Concatenation,0.164313,
Birds,Concatenation,0.176677,
Birds,Concatenation,0.176573,
Birds,Concatenation,0.17652,
Birds,Concatenation,0.176472,
Birds,Concatenation,0.176374,
Birds,Concatenation,0.179645,
Birds,Concatenation,0.184402,
Birds,Concatenation,0.188244,
Birds,Concatenation,0.180653,
Birds,Concatenation,0.163617,
Birds,Concatenation,0.158865,
Birds,Concatenation,0.184834,
Birds,Concatenation,0.194101,
Birds,Concatenation,0.229727,
Birds,Concatenation,0.205519,
Birds,Concatenation,0.25369,
Birds,Concatenation,0.251027,
Birds,Concatenation,0.184917,
Birds,Concatenation,0.160062,
Birds,Concatenation,0.180945,
Birds,Concatenation,0.183042,
Birds,Concatenation,0.162009,
Birds,Concatenation,0.168881,
Birds,Concatenation,0.161336,
Birds,Concatenation,0.167449,
Birds,Concatenation,0.176938,
Birds,Concatenation,0.186874,
Birds,Concatenation,0.190316,
Birds,Concatenation,0.220446,
Birds,Concatenation,0.217473,
Birds,Concatenation,0.221842,
Birds,Concatenation,0.210738,
Birds,Concatenation,0.21937,
Birds,Concatenation,0.286699,
Birds,Concatenation,0.165836,
Birds,Concatenation,0.184518,
Birds,Concatenation,0.185699,
Birds,Concatenation,0.168625,
Birds,Concatenation,0.173045,
Birds,Concatenation,0.171084,
Birds,Concatenation,0.171663,
Birds,Concatenation,0.171468,
Birds,Concatenation,0.172816,
Birds,Concatenation,0.177695,
Birds,Concatenation,0.170597,
Birds,Concatenation,0.172113,
Birds,Concatenation,0.171383,
Birds,Concatenation,0.24085,
Birds,Concatenation,0.228727,
Birds,Concatenation,0.223723,
Birds,Concatenation,0.1863,
Birds,Concatenation,0.167589,
Birds,Concatenation,0.162273,
Birds,Concatenation,0.159499,
Birds,Concatenation,0.196746,
Birds,Concatenation,0.188337,
Birds,Concatenation,0.1839,
Birds,Concatenation,0.192047,
Birds,Concatenation,0.198855,
Birds,Concatenation,0.191062,
Birds,Concatenation,0.207389,
Birds,Concatenation,0.205907,
Birds,Concatenation,0.207098,
Birds,Concatenation,0.178257,
Birds,Concatenation,0.173662,
Birds,Concatenation,0.17557,
Birds,Concatenation,0.17898,
Birds,Concatenation,0.180995,
Birds,Concatenation,0.184372,
Birds,Concatenation,0.227831,
Birds,Concatenation,0.21225,
Birds,Concatenation,0.259055,
Birds,Concatenation,0.251291,
Birds,Concatenation,0.227095,
Birds,Concatenation,0.231777,
Birds,Concatenation,0.245687,
Birds,Concatenation,0.163252,
Birds,Concatenation,0.160653,
Birds,Concatenation,0.194349,
Birds,Concatenation,0.211202,
Birds,Concatenation,0.212053,
Birds,Concatenation,0.21227,
Birds,Concatenation,0.212281,
Birds,Concatenation,0.220754,
Birds,Concatenation,0.228127,
Birds,Concatenation,0.245663,
Birds,Concatenation,0.266663,
Birds,Concatenation,0.292983,
Birds,Concatenation,0.271815,
Birds,Concatenation,0.274133,
Birds,Concatenation,0.283491,
Birds,Concatenation,0.28296,
Birds,Concatenation,0.287789,
Birds,Concatenation,0.288943,
Birds,CASTLES-Pro,0.1952,
Birds,CASTLES-Pro,0.194554,
Birds,CASTLES-Pro,0.202395,
Birds,CASTLES-Pro,0.199264,
Birds,CASTLES-Pro,0.191801,
Birds,CASTLES-Pro,0.191962,
Birds,CASTLES-Pro,0.182581,
Birds,CASTLES-Pro,0.182585,
Birds,CASTLES-Pro,0.193464,
Birds,CASTLES-Pro,0.224204,
Birds,CASTLES-Pro,0.12476,
Birds,CASTLES-Pro,0.124892,
Birds,CASTLES-Pro,0.082634,
Birds,CASTLES-Pro,0.082728,
Birds,CASTLES-Pro,0.082467,
Birds,CASTLES-Pro,0.082336,
Birds,CASTLES-Pro,0.087061,
Birds,CASTLES-Pro,0.091483,
Birds,CASTLES-Pro,0.108681,
Birds,CASTLES-Pro,0.257431,
Birds,CASTLES-Pro,0.257759,
Birds,CASTLES-Pro,0.255842,
Birds,CASTLES-Pro,0.262393,
Birds,CASTLES-Pro,0.263191,
Birds,CASTLES-Pro,0.260787,
Birds,CASTLES-Pro,0.261625,
Birds,CASTLES-Pro,0.260597,
Birds,CASTLES-Pro,0.260058,
Birds,CASTLES-Pro,0.258952,
Birds,CASTLES-Pro,0.257231,
Birds,CASTLES-Pro,0.255569,
Birds,CASTLES-Pro,0.256667,
Birds,CASTLES-Pro,0.256635,
Birds,CASTLES-Pro,0.257422,
Birds,CASTLES-Pro,0.255478,
Birds,CASTLES-Pro,0.258068,
Birds,CASTLES-Pro,0.250191,
Birds,CASTLES-Pro,0.247034,
Birds,CASTLES-Pro,0.246804,
Birds,CASTLES-Pro,0.250097,
Birds,CASTLES-Pro,0.245411,
Birds,CASTLES-Pro,0.245072,
Birds,CASTLES-Pro,0.251195,
Birds,CASTLES-Pro,0.251046,
Birds,CASTLES-Pro,0.242583,
Birds,CASTLES-Pro,0.242974,
Birds,CASTLES-Pro,0.240943,
Birds,CASTLES-Pro,0.241222,
Birds,CASTLES-Pro,0.240719,
Birds,CASTLES-Pro,0.247649,
Birds,CASTLES-Pro,0.246231,
Birds,CASTLES-Pro,0.236158,
Birds,CASTLES-Pro,0.241984,
Birds,CASTLES-Pro,0.241542,
Birds,CASTLES-Pro,0.245812,
Birds,CASTLES-Pro,0.237449,
Birds,CASTLES-Pro,0.241643,
Birds,CASTLES-Pro,0.240022,
Birds,CASTLES-Pro,0.232344,
Birds,CASTLES-Pro,0.232018,
Birds,CASTLES-Pro,0.248705,
Birds,CASTLES-Pro,0.247329,
Birds,CASTLES-Pro,0.247471,
Birds,CASTLES-Pro,0.254722,
Birds,CASTLES-Pro,0.243433,
Birds,CASTLES-Pro,0.24494,
Birds,CASTLES-Pro,0.25206,
Birds,CASTLES-Pro,0.255488,
Birds,CASTLES-Pro,0.23904,
Birds,CASTLES-Pro,0.238511,
Birds,CASTLES-Pro,0.240567,
Birds,CASTLES-Pro,0.244787,
Birds,CASTLES-Pro,0.236799,
Birds,CASTLES-Pro,0.272533,
Birds,CASTLES-Pro,0.245897,
Birds,CASTLES-Pro,0.250957,
Birds,CASTLES-Pro,0.2457,
Birds,CASTLES-Pro,0.245682,
Birds,CASTLES-Pro,0.2541,
Birds,CASTLES-Pro,0.240133,
Birds,CASTLES-Pro,0.261903,
Birds,CASTLES-Pro,0.242074,
Birds,CASTLES-Pro,0.23449,
Birds,CASTLES-Pro,0.242292,
Birds,CASTLES-Pro,0.242046,
Birds,CASTLES-Pro,0.243818,
Birds,CASTLES-Pro,0.246331,
Birds,CASTLES-Pro,0.249285,
Birds,CASTLES-Pro,0.245737,
Birds,CASTLES-Pro,0.242744,
Birds,CASTLES-Pro,0.240215,
Birds,CASTLES-Pro,0.244959,
Birds,CASTLES-Pro,0.247724,
Birds,CASTLES-Pro,0.247093,
Birds,CASTLES-Pro,0.249648,
Birds,CASTLES-Pro,0.247431,
Birds,CASTLES-Pro,0.249727,
Birds,CASTLES-Pro,0.253428,
Birds,CASTLES-Pro,0.248359,
Birds,CASTLES-Pro,0.241209,
Birds,CASTLES-Pro,0.24019,
Birds,CASTLES-Pro,0.255507,
Birds,CASTLES-Pro,0.240897,
Birds,CASTLES-Pro,0.250122,
Birds,CASTLES-Pro,0.248451,
Birds,CASTLES-Pro,0.231804,
Birds,CASTLES-Pro,0.233751,
Birds,CASTLES-Pro,0.258373,
Birds,CASTLES-Pro,0.244234,
Birds,CASTLES-Pro,0.242459,
Birds,CASTLES-Pro,0.249302,
Birds,CASTLES-Pro,0.243668,
Birds,CASTLES-Pro,0.237776,
Birds,CASTLES-Pro,0.235602,
Birds,CASTLES-Pro,0.234843,
Birds,CASTLES-Pro,0.251722,
Birds,CASTLES-Pro,0.23741,
Birds,CASTLES-Pro,0.231294,
Birds,CASTLES-Pro,0.236586,
Birds,CASTLES-Pro,0.222977,
Birds,CASTLES-Pro,0.235481,
Birds,CASTLES-Pro,0.222098,
Birds,CASTLES-Pro,0.220043,
Birds,CASTLES-Pro,0.23837,
Birds,CASTLES-Pro,0.236396,
Birds,CASTLES-Pro,0.234323,
Birds,CASTLES-Pro,0.232604,
Birds,CASTLES-Pro,0.222973,
Birds,CASTLES-Pro,0.226805,
Birds,CASTLES-Pro,0.223393,
Birds,CASTLES-Pro,0.224733,
Birds,CASTLES-Pro,0.222848,
Birds,CASTLES-Pro,0.227119,
Birds,CASTLES-Pro,0.230919,
Birds,CASTLES-Pro,0.232338,
Birds,CASTLES-Pro,0.22779,
Birds,CASTLES-Pro,0.220693,
