GENE,TYPE,ALPH,SQLN,P_A,P_C,P_G,P_T,P_CA,P_AG,P_TA,P_CG,P_TC,P_TG
1,default,0.957790,1000,0.267156,0.229978,0.223235,0.279630,22.556621,1.000000,0.050869,0.029996,0.147314,0.368510
2,default,0.217307,1000,0.340854,0.193565,0.262624,0.202957,9.548078,1.000000,0.043101,0.117198,0.148591,0.295952
3,default,2.455661,1000,0.359041,0.246543,0.174795,0.219621,6.255804,1.000000,0.063265,0.087522,0.105778,0.243665
4,default,1.649693,1000,0.266741,0.141960,0.289575,0.301723,3.853949,1.000000,0.108847,0.135084,0.142044,0.318076
5,default,0.795194,1000,0.277526,0.209923,0.215793,0.296758,7.189285,1.000000,0.031343,0.066072,0.177045,0.247942
6,default,1.692129,1000,0.260717,0.287591,0.197140,0.254552,7.546624,1.000000,0.150086,0.115553,0.189043,0.329674
7,default,3.051407,1000,0.329666,0.251831,0.211408,0.207094,3.122535,1.000000,0.074939,0.162526,0.130330,0.266318
8,default,2.201057,1000,0.259837,0.223638,0.244479,0.272046,18.561292,1.000000,0.130136,0.030029,0.169293,0.358998
9,default,3.587208,1000,0.247496,0.255466,0.203574,0.293464,3.340585,1.000000,0.090044,0.137950,0.086887,0.342853
10,default,0.220207,1000,0.321345,0.194426,0.239961,0.244268,9.839234,1.000000,0.190138,0.053091,0.167479,0.298897
11,default,0.604441,1000,0.270046,0.220621,0.231549,0.277784,12.717457,1.000000,0.105261,0.123116,0.074311,0.241501
12,default,2.397794,1000,0.310067,0.251272,0.209717,0.228943,5.961173,1.000000,0.044682,0.182275,0.167947,0.308864
13,default,2.377324,1000,0.330029,0.202071,0.247106,0.220794,3.243290,1.000000,0.092853,0.078245,0.142446,0.376737
14,default,0.778712,1000,0.244771,0.216666,0.195710,0.342852,4.530330,1.000000,0.045043,0.148340,0.127823,0.336583
15,default,1.348376,1000,0.302405,0.195994,0.224654,0.276947,10.585629,1.000000,0.078085,0.110534,0.149517,0.262149
16,default,1.559617,1000,0.263750,0.213535,0.251669,0.271046,4.608515,1.000000,0.055919,0.101231,0.054006,0.396285
17,default,1.089188,1000,0.295243,0.148411,0.298782,0.257564,2.716884,1.000000,0.106092,0.091330,0.068456,0.369772
18,default,0.171840,1000,0.303037,0.151643,0.281770,0.263550,4.897301,1.000000,0.099077,0.081356,0.091017,0.370931
19,default,0.422367,1000,0.263490,0.220918,0.215835,0.299757,14.287673,1.000000,0.137094,0.205640,0.106779,0.229021
20,default,1.226101,1000,0.321588,0.163144,0.259364,0.255903,3.088091,1.000000,0.164844,0.135298,0.117562,0.285652
21,default,0.377826,1000,0.263178,0.125298,0.260498,0.351025,10.956248,1.000000,0.054287,0.076928,0.168762,0.232889
22,default,0.408912,1000,0.353280,0.154428,0.233856,0.258437,6.490760,1.000000,0.117523,0.067360,0.130369,0.327850
23,default,0.793102,1000,0.296957,0.184515,0.304152,0.214377,5.197558,1.000000,0.146786,0.100164,0.110914,0.334764
24,default,1.403791,1000,0.273596,0.219327,0.213144,0.293933,3.203027,1.000000,0.107748,0.073574,0.230576,0.250111
25,default,0.137437,1000,0.331001,0.197403,0.226454,0.245142,5.434671,1.000000,0.120631,0.068349,0.132492,0.326113
26,default,0.876802,1000,0.227229,0.186922,0.279265,0.306584,2.196101,1.000000,0.065820,0.080253,0.128198,0.291827
27,default,1.337805,1000,0.279447,0.207338,0.244800,0.268416,4.388361,1.000000,0.047988,0.120539,0.073280,0.400221
28,default,0.725677,1000,0.242599,0.307899,0.213388,0.236114,5.269924,1.000000,0.119367,0.113064,0.126597,0.321129
29,default,1.532109,1000,0.345811,0.172935,0.232078,0.249176,3.532208,1.000000,0.178968,0.101275,0.093272,0.282327
30,default,2.547318,1000,0.270383,0.219511,0.205884,0.304222,5.639952,1.000000,0.032481,0.076793,0.119979,0.296460
