,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
0,internal,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.04874581548323426,0.031938780953898974,0.04798193045488762,matching
1,internal,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.023088204416472,0.023088204416472,0.026269098944365188,non-matching
2,terminal A,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.05230740890760574,0.05223193578661611,0.05228036930422627,matching
3,terminal A,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.06600476000086967,0.06586847703784568,0.0671024479743224,non-matching
4,terminal B,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.042405806908623105,0.04233033378763348,0.04187986511560383,matching
5,terminal B,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.05610315800188704,0.05596687503886305,0.05197795910128389,non-matching
6,terminal C,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.03129712508106745,0.02933228408837777,0.032015703025056456,matching
7,terminal C,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.0506459484982643,0.04362983311167231,0.048996566847360916,non-matching
8,terminal D,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.02551703518131731,0.02355219418862762,0.02499994540380686,matching
9,terminal D,balanced,0.8481420133500001,1.3500998881500001,9299,701,0.00011544102208236,6.282015668292001e-05,0.00011441889985968002,0.0001354504151832,9.246941355912e-05,0.00014072250938928,9.625344564888001e-05,0.044865858598514156,0.03784974321192216,0.0445070944935806,non-matching
10,internal,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.0509576077223452,0.06617673311907249,0.05085131813521052,matching
11,internal,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.03765287108123402,0.055925847935731805,0.03911093686361797,non-matching
12,terminal A,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.03725241181176683,0.03697021233633708,0.03812415742993758,matching
13,terminal A,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.07173761857971936,0.09076743288850725,0.07753488161068393,non-matching
14,terminal B,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.0359565598018007,0.03567436032637096,0.03634866112099881,matching
15,terminal B,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.07044176656975323,0.08947158087854112,0.07583078589639822,non-matching
16,terminal C,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.07200630492489911,0.08898970324620899,0.07292986349448799,matching
17,terminal C,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.055242817299133426,0.04864726671144076,0.05199227656009713,non-matching
18,terminal D,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.09387195638588205,0.11959409889998333,0.09356836438969318,matching
19,terminal D,unbalanced,0.9926407908500001,0.34633970410000003,7529,2471,0.00017627617492348502,0.000279629239678659,0.000106242542097003,0.00017450637411156302,0.00016470445449978,9.0723945764205e-05,0.00011839361812398901,0.08338020342827648,0.10401068749901976,0.08277263806151355,non-matching
20,internal,unbalanced,1.1561577891500001,0.6417339647500001,7839,2161,8.8416250984878e-05,0.00010707330433858501,0.00010250467546473,0.000133074183480525,0.000187254356402379,0.000248436738887694,0.00019405996915809599,0.031571951137569526,0.033630332626879034,0.03195225873070545,matching
21,internal,unbalanced,1.1561577891500001,0.6417339647500001,7839,2161,8.8416250984878e-05,0.00010707330433858501,0.00010250467546473,0.000133074183480525,0.000187254356402379,0.000248436738887694,0.00019405996915809599,0.018740563282052914,0.021414660867717,0.01847304295233688,non-matching
22,terminal A,unbalanced,1.1561577891500001,0.6417339647500001,7839,2161,8.8416250984878e-05,0.00010707330433858501,0.00010250467546473,0.000133074183480525,0.000187254356402379,0.000248436738887694,0.00019405996915809599,0.017903341812325394,0.017813302564690575,0.01795814479653017,matching
23,terminal A,unbalanced,1.1561577891500001,0.6417339647500001,7839,2161,8.8416250984878e-05,0.00010707330433858501,0.00010250467546473,0.000133074183480525,0.000187254356402379,0.000248436738887694,0.00019405996915809599,0.04402827107163214,0.046926944480553304,0.04351472211013419,non-matching
24,terminal B,unbalanced,1.1561577891500001,0.6417339647500001,7839,2161,8.8416250984878e-05,0.00010707330433858501,0.00010250467546473,0.000133074183480525,0.000187254356402379,0.000248436738887694,0.00019405996915809599,0.02009339375685152,0.0200033545092167,0.020368774060466895,matching
25,terminal B,unbalanced,1.1561577891500001,0.6417339647500001,7839,2161,8.8416250984878e-05,0.00010707330433858501,0.00010250467546473,0.000133074183480525,0.000187254356402379,0.000248436738887694,0.00019405996915809599,0.04621832301615826,0.049116996425079426,0.047163026353540034,non-matching
