,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
0,internal,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.08796827215133958,0.06641694153641273,0.08768265266197783,matching
1,internal,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.032095635697078795,0.032095635697078795,0.03244935235389611,non-matching
2,terminal A,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.05415708356068008,0.0551716258110056,0.05443897786977835,matching
3,terminal A,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.10204783241752587,0.10651609309702828,0.10130768801948052,non-matching
4,terminal B,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.05094635507450489,0.0519608973248304,0.05120540761295823,matching
5,terminal B,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.09883710393135067,0.10330536461085307,0.09893846107142858,non-matching
6,terminal C,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.05374056230379839,0.0533533404892886,0.05376216329390453,matching
7,terminal C,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.0720744111233863,0.0713957256819743,0.07288455688311687,non-matching
8,terminal D,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.0838983157505521,0.08351109393604231,0.08378880569479966,matching
9,terminal D,balanced,1.5457619175,0.8481420133500001,9384,616,0.00016047817848539398,0.000155388037674804,0.00019399013358166199,0.00022761444468444,0.000192272532481656,0.00010556464562351401,0.000236473810625976,0.10223216457014,0.101553479128728,0.10161120290584416,non-matching
10,internal,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.023798693599671045,0.02456639710357791,0.023885150653753025,matching
11,internal,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.012256727139274858,0.013260455650455999,0.011786122545285648,non-matching
12,terminal A,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.012962662319409353,0.012903278253323434,0.01307153047279215,matching
13,terminal A,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.03331891716997377,0.034653409754060754,0.034485933330236876,non-matching
14,terminal B,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.012928958525160338,0.012869574459074419,0.012991499833057219,matching
15,terminal B,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.03328521337572475,0.03461970595981174,0.033952337431490946,non-matching
16,terminal C,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.03198858058812792,0.032900164663747095,0.03189910912450618,matching
17,terminal C,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.024008756788009452,0.023453671235678503,0.023988230743149094,non-matching
18,terminal D,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.04797337999004008,0.050113556241370254,0.04797623774053778,matching
19,terminal D,unbalanced,1.1305090147,0.69160236235,7847,2153,5.9011651831237e-05,6.630227825228e-05,9.7847557959382e-05,4.1585593078396495e-05,4.0638264528372e-05,7.273598944423e-05,7.07208194957985e-05,0.04444810940269813,0.04629959401898284,0.04480493806316768,non-matching
20,internal,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.01050993333534002,0.014331093580688037,0.010595259151633351,matching
21,internal,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.009752002416665457,0.013881365135680281,0.009962722973889454,non-matching
22,terminal A,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.03452473522859467,0.034441369490001775,0.034678405214529494,matching
23,terminal A,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.04005148990560459,0.04313387935716322,0.0406212206951509,non-matching
24,terminal B,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.04130098154802604,0.04121761580943314,0.04141510845928815,matching
25,terminal B,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.04682773622503595,0.04991012567659458,0.04758268390640896,non-matching
26,terminal C,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.031130591120466733,0.03572475337454866,0.03133255288639688,matching
27,terminal C,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.023823959154549414,0.02314548709318193,0.023199594481180065,non-matching
28,terminal D,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.03495990578332845,0.04244443926194918,0.034891056677230615,matching
29,terminal D,unbalanced,0.1226912627,0.6399489973,4102,5898,4.06373659255228e-05,6.94068256784014e-05,0.00012764821909887387,0.00011489710680622369,0.0001422789833146325,6.807967254362329e-05,5.751182821028749e-05,0.034045149125759934,0.04114234040763562,0.03386748629026788,non-matching
30,internal,balanced,0.3050275438,1.5329863867,8934,1066,3.04074719230601e-05,2.69415669206505e-05,2.43508376673147e-05,1.6733565293868702e-05,3.85691905617095e-05,4.54002307637782e-05,2.41928351381538e-05,0.012227522623455701,0.006484923367797434,0.012243472646071188,matching
31,internal,balanced,0.3050275438,1.5329863867,8934,1066,3.04074719230601e-05,2.69415669206505e-05,2.43508376673147e-05,1.6733565293868702e-05,3.85691905617095e-05,4.54002307637782e-05,2.41928351381538e-05,0.00608149438461202,0.00608149438461202,0.005875507973733584,non-matching
32,terminal A,balanced,0.3050275438,1.5329863867,8934,1066,3.04074719230601e-05,2.69415669206505e-05,2.43508376673147e-05,1.6733565293868702e-05,3.85691905617095e-05,4.54002307637782e-05,2.41928351381538e-05,0.01110123923588885,0.01027012031722228,0.011192977676292813,matching
33,terminal A,balanced,0.3050275438,1.5329863867,8934,1066,3.04074719230601e-05,2.69415669206505e-05,2.43508376673147e-05,1.6733565293868702e-05,3.85691905617095e-05,4.54002307637782e-05,2.41928351381538e-05,0.011212451283794394,0.010404900049695007,0.011520821069418387,non-matching
