,branch,quartet_type,t1,t2,m_gts,n_gts,mu3,mu2,mu1,mua,mub,muc,mud,l_theory,l_simplified,l_empirical,gene_type
0,internal,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.11429896521827568,0.06427162204981908,0.11559018655514373,matching
1,internal,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.0246283416779716,0.0246283416779716,0.03932630705882354,non-matching
2,terminal A,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.0692744486519353,0.06925603718065243,0.0693563981338275,matching
3,terminal A,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.12104580764025535,0.12090043369442148,0.10304190941176469,non-matching
4,terminal B,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.054997956767081024,0.054979545295798155,0.05461549302313933,matching
5,terminal B,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.10676931575540108,0.1066239418095672,0.09442131529411765,non-matching
6,terminal C,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.03659935641205676,0.03618747839992364,0.03679984772813784,matching
7,terminal C,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.08269871180275834,0.07521457471370074,0.07564186588235294,non-matching
8,terminal D,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.02936620317807658,0.028954325165943453,0.02941597874085946,matching
9,terminal D,balanced,2.4430668563,3.2375793105999997,9983,17,0.000246283416779716,0.00013402136044385202,0.00024410280759220803,0.00028897172299592003,0.000197275480658072,0.000300219279117968,0.00020534838520672803,0.07546555856877817,0.06798142147972056,0.08381420411764706,non-matching
10,internal,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.008507989343290804,0.0032652679030078556,0.008828474678685048,matching
11,internal,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.010035092909728306,0.00272348659706235,0.009663609824561402,non-matching
12,terminal A,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.0010793137249646974,0.001058953301764801,0.0010880324846235419,matching
13,terminal A,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.007398094417837805,0.0038429250012757656,0.008444264157894737,non-matching
14,terminal B,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.022720384148996395,0.0227000237257965,0.02295677808059385,matching
15,terminal B,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.0290391648418695,0.025483995425307465,0.02934228692982456,non-matching
16,terminal C,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.13081261662448257,0.12558311069252398,0.13194169333085898,matching
17,terminal C,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.12380716035034323,0.12374007119049593,0.13192642836842106,non-matching
18,terminal D,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.11782809003399453,0.0984002117142121,0.11732902382608698,matching
19,terminal D,unbalanced,2.4611402928,0.8683444694000001,9430,570,0.0001506337070010759,2.7234865970623497e-05,3.3040138541848e-06,1.13373810429872e-05,0.0003340902314485548,0.0003922278204757559,0.000233347955909397,0.11458395128541407,0.09751976461917782,0.12077351757894739,non-matching
20,internal,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.008568305582839811,0.01253409025797945,0.008699364941280095,matching
21,internal,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.008523807027515075,0.0125324881266846,0.008298679220503487,non-matching
22,terminal A,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.020720546903382257,0.020756714196864475,0.020438180334703467,matching
23,terminal A,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.024797608348582134,0.027174743965594692,0.02481073221716712,non-matching
24,terminal B,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.02891301689548924,0.02894918418897146,0.028894108276570758,matching
25,terminal B,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.03299007834068912,0.035367213957701676,0.033446620257810124,non-matching
26,terminal C,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.056390210939213814,0.060697304821114725,0.056972206949500885,matching
27,terminal C,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.048563530313475045,0.04831500026852318,0.04766593237943585,non-matching
28,terminal D,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.060277589166331365,0.07059821097475869,0.06032169082795068,matching
29,terminal D,unbalanced,0.0123537981,0.9406345232,3406,6594,5.3203442526135e-05,0.000125324881266846,7.1999243859924e-05,5.4617635909176e-05,8.150453643987001e-05,0.000144270125818578,0.000125761360806639,0.06017544378296204,0.07044802740066564,0.06038691325902335,non-matching
30,internal,unbalanced,1.5578080034000001,1.7959209253000001,8543,1457,0.000445624114137072,0.00022573002758589998,0.00034559181553453803,0.00023247618172234,0.000103991164314372,0.00031371540994515,0.00037006560635055,0.05726034148143858,0.05346573999837185,0.058523254108626944,matching
31,internal,unbalanced,1.5578080034000001,1.7959209253000001,8543,1457,0.000445624114137072,0.00022573002758589998,0.00034559181553453803,0.00023247618172234,0.000103991164314372,0.00031371540994515,0.00037006560635055,0.02799725558039136,0.022573002758589998,0.02823077860672615,non-matching
32,terminal A,unbalanced,1.5578080034000001,1.7959209253000001,8543,1457,0.000445624114137072,0.00022573002758589998,0.00034559181553453803,0.00023247618172234,0.000103991164314372,0.00031371540994515,0.00037006560635055,0.038590850592017306,0.03858256741366527,0.0382557627145031,matching
33,terminal A,unbalanced,1.5578080034000001,1.7959209253000001,8543,1457,0.000445624114137072,0.00022573002758589998,0.00034559181553453803,0.00023247618172234,0.000103991164314372,0.00031371540994515,0.00037006560635055,0.0903321907202273,0.08767166834842534,0.08729580415236787,non-matching
