,Taxon,Branch Type,l1,l2,l1/l2
0,349521,terminal,0.132322,0.204555,0.646877368
1,266265,terminal,0.17055,0.253495,0.672794335
2,  ,internal,0.138452,0.096016,1.441968005
3,137722,terminal,0.378949,0.322142,1.176341489
4,  ,internal,0.153496,0.096661,1.587982744
5,1162668,terminal,0.387129,0.437557,0.884751015
6,  ,internal,0.061287,0.0393,1.559465649
7,671143,terminal,0.449434,0.333286,1.348493486
8,  ,internal,0.004769,0.038157,0.12498362
9,768670,terminal,0.200538,0.324119,0.6187172
10,653733,terminal,0.122344,0.329376,0.371441757
11,  ,internal,0.037844,0.060814,0.62229092
12,706587,terminal,0.439889,0.381567,1.152848648
13,  ,internal,0.021454,0.032793,0.654224987
14,  ,internal,0.005309,0.007857,0.675703195
15,667014,terminal,0.25721,0.332573,0.773394112
16,  ,internal,0.079283,0.029463,2.690934392
17,123214,terminal,0.439455,0.411026,1.069165941
18,  ,internal,0.004516,0.023926,0.188748642
19,452637,terminal,0.481494,0.440932,1.091991509
20,471821,terminal,0.513454,0.45504,1.128371132
21,  ,internal,0.016191,0.066501,0.243470023
22,  ,internal,0.048376,0.015243,3.17365348
23,756272,terminal,0.555101,0.499114,1.11217277
24,768706,terminal,0.232123,0.317654,0.730741625
25,  ,internal,0.135494,0.074461,1.819663985
26,  ,internal,0.290437,0.008464,34.31439036
27,234267,terminal,0.591997,0.426828,1.386968521
28,  ,internal,0.009775,0.011972,0.816488473
29,259564,terminal,0.115318,0.105889,1.089046077
30,679901,terminal,0.104331,0.141428,0.73769692
31,  ,internal,0.009007,0.036213,0.248722834
32,192952,terminal,0.097307,0.151615,0.641803252
33,  ,internal,0.181088,0.103684,1.746537556
34,349307,terminal,0.084288,0.123356,0.683290638
35,1110509,terminal,0.123115,0.147075,0.83708992
36,  ,internal,0.226073,0.170206,1.328231672
37,  ,internal,0.11138,0.039627,2.81070987
38,1041930,terminal,0.027954,0.055497,0.503702903
39,304371,terminal,0.029532,0.051802,0.570093819
40,  ,internal,0.078509,0.052474,1.496150475
41,351160,terminal,0.020048,0.080218,0.249918971
42,  ,internal,0.298733,0.244206,1.223282802
43,  ,internal,0.005811,0.029388,0.197733769
44,937775,terminal,0.148812,0.20212,0.73625569
45,368407,terminal,0.098462,0.164366,0.599041164
46,  ,internal,0.006678,0.023631,0.282594897
47,521011,terminal,0.169371,0.169479,0.999362753
48,  ,internal,0.006459,0.022952,0.281413384
49,323259,terminal,0.217309,0.240662,0.902963492
50,  ,internal,0.116358,0.032686,3.559872728
51,410358,terminal,0.228744,0.22716,1.006973059
52,  ,internal,0.131485,0.168007,0.782616201
53,  ,internal,0.099361,0.024549,4.047456108
54,416348,terminal,0.062101,0.122491,0.506984187
55,469382,terminal,0.002977,0.073458,0.040526559
56,  ,internal,0.135146,0.030437,4.440187929
57,348780,terminal,0.155721,0.131844,1.181100391
58,  ,internal,0.003273,0.014964,0.21872494
59,547559,terminal,0.092929,0.098277,0.945582384
60,797209,terminal,0.075883,0.123314,0.61536403
61,  ,internal,0.004263,0.022025,0.193552781
62,  ,internal,0.008888,0.032781,0.271132668
63,519442,terminal,0.051471,0.115085,0.447243342
64,  ,internal,0.569183,0.438421,1.298256698
65,  ,internal,0.064901,0.045394,1.429726396
66,224325,terminal,0.134613,0.129799,1.037088113
67,693661,terminal,0.090513,0.093847,0.964474091
68,  ,internal,0.009861,0.024786,0.397845558
69,572546,terminal,0.123143,0.106593,1.155263479
70,  ,internal,0.024783,0.035626,0.695643631
71,589924,terminal,0.102421,0.123885,0.826742543
72,  ,internal,0.263501,0.18622,1.414998389
73,  ,internal,0.087051,0.06303,1.381104236
74,274854,terminal,0.999521,0.76051,1.314277261
75,  ,internal,0.024132,0.036314,0.664537093
76,187420,terminal,0.147376,0.151787,0.97093954
77,868132,terminal,0.160684,0.151792,1.058580162
78,  ,internal,0.012582,0.028478,0.441814734
79,420247,terminal,0.232859,0.208274,1.118041618
80,339860,terminal,0.28084,0.216283,1.298483931
81,  ,internal,0.002259,0.041233,0.054786215
82,  ,internal,0.05465,0.050714,1.077611705
83,523846,terminal,0.125175,0.152906,0.81864021
84,  ,internal,0.287567,0.156979,1.831881971
85,419665,terminal,0.114462,0.121774,0.939954342
86,406327,terminal,0.116637,0.166587,0.700156675
87,  ,internal,0.065583,0.065955,0.994359791
88,880724,terminal,0.036111,0.042894,0.841865995
89,  ,internal,0.033206,0.039271,0.845560337
90,243232,terminal,0.020075,0.020687,0.970416203
91,579137,terminal,0.006177,0.042,0.147071429
92,  ,internal,0.101948,0.060245,1.692223421
93,  ,internal,0.305034,0.196939,1.54887554
94,  ,internal,0.035828,0.076386,0.469038829
95,  ,internal,0.03407,0.020185,1.687887045
