method,taxa,rtt
castles_pro,G001824735,7.651348999999998
castles_pro,G001820905,7.661115999999998
castles_pro,G001822535,7.448457999999999
castles_pro,G001821165,7.5353439999999985
castles_pro,G001821275,7.103094999999999
castles_pro,G001821155,6.939099999999999
castles_pro,G001004225,6.610627999999999
castles_pro,G001003605,6.549745999999999
castles_pro,G000999035,6.548898999999999
castles_pro,G001820935,6.027443
castles_pro,G001004005,5.975498
castles_pro,G001820885,7.375168
castles_pro,G001821135,7.309589000000001
castles_pro,G001821305,7.957314
castles_pro,G001822615,6.462354
castles_pro,G001822765,6.472898
castles_pro,G001001935,6.293082
castles_pro,G001822505,12.765346
castles_pro,G001820955,13.160782
castles_pro,G001821065,6.94149
castles_pro,G001821185,6.258849
castles_pro,G001003165,4.7568150000000005
castles_pro,G001820855,5.4744779999999995
castles_pro,G001820985,5.4744779999999995
castles_pro,G001822675,5.518355999999999
castles_pro,G001822755,5.788359
castles_pro,G001821245,5.787506
castles_pro,G000999175,5.240639
castles_pro,G001822705,5.264646999999999
castles_pro,G001821015,5.183636999999999
castles_pro,G001820875,5.209067999999999
castles_pro,G001822595,5.933929000000001
castles_pro,G001821115,5.937791000000001
castles_pro,G001822495,5.754686000000001
castles_pro,G001821055,5.808696000000001
castles_pro,G001822735,5.672702000000001
castles_pro,G001821235,5.666028000000001
castles_pro,G001189105,5.130024000000001
castles_pro,G001821295,6.613262
castles_pro,G001821035,6.614057
castles_pro,G001821215,5.971698
castles_pro,G001822555,5.848243
castles_pro,G001820825,5.380625
castles_pro,G001822625,5.391883
castles_pro,G001822655,5.057838
castles_pro,G000996205,4.720767
castles_pro,G001824295,5.7816410000000005
castles_pro,G000994785,5.785383
castles_pro,G000995155,5.8529789999999995
castles_pro,G000998065,5.6902349999999995
castles_pro,G000996185,5.806221
castles_pro,G000995625,5.6693359999999995
castles_pro,G000993415,5.7246429999999995
castles_pro,G000994025,5.653191
castles_pro,G001824235,5.800147
castles_pro,G001825395,5.799696
castles_pro,G001824155,6.389892
castles_pro,G001825405,6.3904119999999995
castles_pro,G001823815,6.111955999999999
castles_pro,G001824095,6.246187999999999
castles_pro,G001825235,5.778318
castles_pro,G000996025,5.884532999999999
castles_pro,G001824195,5.533967
castles_pro,G001824275,5.924683999999998
castles_pro,G001825445,5.924728999999998
castles_pro,G001825335,5.961608999999998
castles_pro,G001825325,5.5591849999999985
castles_pro,G001825295,5.426628
castles_pro,G001823825,5.426162
castles_pro,G000992905,5.658771
castles_pro,G001823715,5.6154790000000006
castles_pro,G001823945,5.947672000000001
castles_pro,G001825315,5.691371
castles_pro,G001824025,5.280973
castles_pro,G001824135,5.491549999999999
castles_pro,G001823745,5.490075999999999
castles_pro,G001824255,5.6478980000000005
castles_pro,G001825215,5.6478980000000005
castles_pro,G001823795,5.684324999999999
castles_pro,G001824075,5.669888
castles_pro,G001824005,5.672687000000001
castles_pro,G001823735,5.6859
castles_pro,G001823695,5.806249999999999
castles_pro,G001823995,5.972614999999999
castles_pro,G001823895,5.433812999999999
castles_pro,G001823875,4.973323999999999
castles_pro,G001774495,4.781009
castles_pro,G001781515,8.187292
castles_pro,G001781175,8.193864999999999
castles_pro,G001781275,7.805090999999999
castles_pro,G001781105,8.074834999999998
castles_pro,G001781725,8.073739999999999
castles_pro,G001781875,6.741214999999999
castles_pro,G001781335,7.736726999999999
castles_pro,G001783415,7.73609
castles_pro,G001781195,7.391998999999999
castles_pro,G001781605,7.213489999999999
castles_pro,G001781445,7.498167999999999
castles_pro,G001781795,7.596103999999999
castles_pro,G001781355,7.500781999999998
castles_pro,G001783445,7.714136999999998
castles_pro,G001004985,7.226379999999998
castles_pro,G001783355,7.081467999999998
castles_pro,G001783375,7.106964999999999
castles_pro,G001781685,6.666355999999999
castles_pro,G001781845,7.070924999999998
castles_pro,G001003805,7.054935999999999
castles_pro,G001781555,7.166828999999999
castles_pro,G001781675,7.193625999999999
castles_pro,G001781465,6.721517999999999
