,Taxon,Branch Type,l1,l2,l1/l2
0,PROG7,terminal,0.048007,0.074165935,0.64729178
1,PROG15,terminal,0.064657,0.084413943,0.765951662
2,  ,internal,0.103105,0.098336573,1.048490879
3,PROG1,terminal,0.166756,0.224803485,0.741785655
4,  ,internal,0.118063,0.108300634,1.09014136
5,PROB10,terminal,0.103412,0.15041423,0.687514736
6,PROB1,terminal,0.148813,0.1768121,0.841644888
7,  ,internal,0.044414,0.11510025,0.385872316
8,  ,internal,0.142368,0.122506763,1.162123594
9,PROA5,terminal,0.155222,0.166570123,0.931871798
10,PROA12,terminal,0.201215,0.197205555,1.020331301
11,  ,internal,0.036062,0.044107686,0.817589934
12,PROA2,terminal,0.118919,0.168044323,0.707664489
13,  ,internal,0.345901,0.201093139,1.720103439
14,PROZ1,terminal,0.474607,0.348087531,1.363470269
15,  ,internal,0.005863,0.034295226,0.170956737
16,  ,internal,0.087444,0.092580248,0.944521125
17,DEFE1,terminal,0.393418,0.316573236,1.242739294
18,CHRY1,terminal,0.342064,0.278267673,1.229262443
19,  ,internal,0.133338,0.06479512,2.057840168
20,PROD2,terminal,0.425366,0.350660823,1.213041127
21,  ,internal,0.028497,0.039432934,0.722670049
22,  ,internal,0.066663,0.049716363,1.340866394
23,BACT1,terminal,0.251541,0.217021186,1.159061954
24,BACT9,terminal,0.251615,0.223727849,1.124647652
25,  ,internal,0.007523,0.039186405,0.191979847
26,BACT18,terminal,0.129316,0.175473755,0.736953511
27,  ,internal,0.11361,0.169270125,0.671175731
28,BCHL1,terminal,0.267755,0.299593289,0.893728298
29,  ,internal,0.208013,0.085412966,2.43537967
30,FIBR1,terminal,0.379114,0.417193774,0.908724011
31,  ,internal,0.122374,0.056275856,2.174538236
32,CHLA1,terminal,0.518424,0.449175061,1.154169154
33,CHLAV1,terminal,0.486739,0.380650417,1.278703446
34,  ,internal,0.069995,0.112891912,0.620017848
35,  ,internal,0.019689,0.059128511,0.332986569
36,  ,internal,0.00537,0.024057345,0.223216652
37,PROE2,terminal,0.618141,0.452230224,1.366872375
38,SPIR1,terminal,0.522853,0.475278522,1.100098103
39,  ,internal,0.132635,0.083614953,1.586259345
40,  ,internal,0.00528,0.030090831,0.175468734
41,FIRM10,terminal,0.276319,0.311255489,0.887756232
42,FIRM22,terminal,0.239598,0.252596156,0.94854175
43,  ,internal,0.008764,0.040983881,0.213840167
44,FIRM1,terminal,0.112238,0.158246732,0.709259512
45,FIRM9,terminal,0.270031,0.289818167,0.931725582
46,  ,internal,0.096016,0.128459204,0.747443525
47,  ,internal,0.065137,0.051136102,1.273796744
48,ACTI12,terminal,0.031678,0.185563653,0.170712311
49,ACTI7,terminal,0.075942,0.22367367,0.33952141
50,  ,internal,0.286898,0.165428323,1.73427376
51,ACTI1,terminal,0.349193,0.373127379,0.935854669
52,  ,internal,0.180211,0.149478595,1.205597361
53,  ,internal,0.011328,0.018755766,0.603974267
54,DEIN1,terminal,0.621158,0.479015281,1.296739425
55,  ,internal,0.045075,0.020249698,2.225959112
56,MELA2,terminal,0.548353,0.479191041,1.144330659
57,  ,internal,0.005048,0.033394341,0.151163336
58,  ,internal,0.072174,0.04779907,1.509945689
59,CHLO1,terminal,0.457022,0.449329717,1.017119461
60,  ,internal,0.103988,0.037322774,2.786180929
61,AQUI1,terminal,0.408139,0.399531949,1.021542835
62,THER2,terminal,0.387968,0.364407811,1.064653359
63,  ,internal,0.015028,0.037855892,0.396979157
64,  ,internal,1.789174,1.427513919,1.2533496
65,Mmaze,terminal,0.264738,0.247724515,1.068679051
66,Mpalu,terminal,0.23284,0.253994568,0.916712519
67,  ,internal,0.040542,0.045737364,0.886408749
68,Mhung,terminal,0.253277,0.361214794,0.701181137
69,  ,internal,0.06412,0.026223963,2.445091884
70,Hmari,terminal,0.045478,0.12522853,0.363160058
71,Hvolc,terminal,0.014651,0.120838395,0.121244576
72,  ,internal,0.41974,0.323964769,1.295634713
73,  ,internal,0.106466,0.064458717,1.651692815
74,Afulg,terminal,0.288158,0.282648321,1.019493055
75,  ,internal,0.083111,0.059626465,1.393860936
76,Thvol,terminal,0.293739,0.388456096,0.756170396
77,Aboon,terminal,0.094165,0.185152382,0.508581089
78,  ,internal,0.138085,0.086355214,1.599034889
79,Mlumi,terminal,0.212025,0.299391958,0.708185356
80,  ,internal,0.126829,0.040125633,3.160797457
81,TpN05,terminal,0.359746,0.360266837,0.998554302
82,  ,internal,0.024872,0.016974583,1.465249516
83,UnEury2,terminal,0.607428,0.553884455,1.096669159
84,  ,internal,0.066564,0.081026492,0.821509098
85,  ,internal,0.116708,0.07327782,1.592678375
86,Pfuri,terminal,0.00978,0.05615253,0.174168465
87,Tkoda,terminal,0.005039,0.070051438,0.071932856
88,  ,internal,0.298284,0.223493202,1.334644622
89,Mjann,terminal,0.322138,0.299785113,1.074563032
90,  ,internal,0.006839,0.043056206,0.158838892
91,Mkand,terminal,0.302584,0.343955265,0.879719052
92,Mtherm,terminal,0.305287,0.287922869,1.060308272
