,Taxon,Branch Type,l1,l2,l1/l2
0,Crypturellus cinnamomeus,terminal,0.007183,0.008939,0.803557445
1,Crypturellus undulatus,terminal,0.006537,0.008299,0.787685263
2,  ,internal,0.005814,0.015167,0.383332234
3,Crypturellus soui,terminal,0.020192,0.025807,0.782423374
4,  ,internal,0.026849,0.03207,0.837199875
5,Tinamus guttatus,terminal,0.04391,0.048168,0.911601063
6,  ,internal,0.009311,0.011286,0.82500443
7,Nothocercus julius,terminal,0.013167,0.01873,0.702989856
8,Nothocercus nigrocapillus,terminal,0.013328,0.018852,0.706980692
9,  ,internal,0.032591,0.033385,0.976216864
10,  ,internal,0.006222,0.008312,0.748556304
11,Nothoprocta ornata,terminal,0.001384,0.002383,0.580780529
12,Nothoprocta pentlandii,terminal,0.001388,0.00239,0.580753138
13,  ,internal,0.005292,0.018152,0.291538123
14,Nothoprocta perdicaria,terminal,0.017559,0.022313,0.786940349
15,  ,internal,0.030972,0.060045,0.51581314
16,Eudromia elegans,terminal,0.079271,0.08357,0.948558095
17,  ,internal,0.005112,0.005396,0.947368421
18,  ,internal,0.076163,0.082183,0.926748841
19,Rhea americana,terminal,0.000573,0.007499,0.076410188
20,Rhea pennata,terminal,0.000705,0.007613,0.092604755
21,  ,internal,0.060529,0.076908,0.787031258
22,  ,internal,0.002816,0.00255,1.104313725
23,Apteryx haastii,terminal,0.00059,0.001425,0.414035088
24,Apteryx owenii,terminal,0.000684,0.001523,0.449113592
25,  ,internal,0.001967,0.002903,0.677574922
26,Apteryx australis,terminal,0.001219,0.002252,0.541296625
27,Apteryx rowi,terminal,0.001088,0.001751,0.621359223
28,  ,internal,0.001171,0.002914,0.401853123
29,  ,internal,0.019071,0.034805,0.547938515
30,Casuarius casuarius,terminal,0.011284,0.013554,0.832521765
31,Dromaius novaehollandiae,terminal,0.015706,0.017945,0.875229869
32,  ,internal,0.014771,0.033725,0.437983692
33,  ,internal,0.000164,0.001406,0.116642959
34,  ,internal,0.012688,0.014654,0.865838679
35,Struthio camelus,terminal,0.060527,0.073322,0.825495758
36,  ,internal,0.096308,0.103118,0.933959154
37,Molothrus ater,terminal,0.005893,0.007589,0.776518645
38,Quiscalus mexicanus,terminal,0.006221,0.007969,0.780650019
39,  ,internal,0.001461,0.001956,0.746932515
40,Agelaius phoeniceus,terminal,0.005765,0.008439,0.683137813
41,  ,internal,0.014641,0.014275,1.025639229
42,Setophaga coronata,terminal,0.005905,0.00973,0.60688592
43,Setophaga kirtlandii,terminal,0.006703,0.010703,0.626273008
44,  ,internal,0.021052,0.020542,1.024827183
45,  ,internal,0.003098,0.003548,0.873167982
46,Junco hyemalis,terminal,0.008492,0.011229,0.756256123
47,Zonotrichia albicollis,terminal,0.00933,0.011921,0.782652462
48,  ,internal,0.006737,0.008255,0.816111448
49,Melospiza melodia,terminal,0.015039,0.018951,0.793572899
50,  ,internal,0.005383,0.006468,0.832251082
51,Spizella passerina,terminal,0.019883,0.024218,0.821000908
52,  ,internal,0.007837,0.007963,0.984176818
53,  ,internal,0.003284,0.003124,1.051216389
54,Cardinalis cardinalis,terminal,0.018286,0.020393,0.896680233
55,Passerina amoena,terminal,0.016565,0.018731,0.884362821
56,  ,internal,0.000417,0.001269,0.328605201
57,Pheucticus melanocephalus,terminal,0.01532,0.018659,0.821051503
58,  ,internal,0.006382,0.0068,0.938529412
59,Geospiza fortis,terminal,0.016772,0.020006,0.838348495
60,Sporophila hypoxantha,terminal,0.01674,0.019692,0.850091408
61,  ,internal,0.00205,0.001596,1.284461153
62,Nesospiza acunhae,terminal,0.019577,0.023909,0.818812999
63,  ,internal,0.003978,0.003499,1.136896256
64,  ,internal,0.004813,0.004996,0.963370697
65,  ,internal,0.001417,0.001404,1.009259259
66,Calcarius ornatus,terminal,0.026686,0.030375,0.87855144
67,Emberiza fucata,terminal,0.029276,0.032367,0.904501498
68,  ,internal,0.001155,0.002051,0.563139932
69,  ,internal,0.001968,0.001824,1.078947368
70,Rhodinocichla rosea,terminal,0.024522,0.027544,0.890284635
71,  ,internal,0.005782,0.00606,0.954125413
72,Loxia curvirostra,terminal,0.002519,0.003965,0.635308953
73,Loxia leucoptera,terminal,0.002289,0.003737,0.612523415
74,  ,internal,0.006009,0.009651,0.622629779
75,Serinus canaria,terminal,0.011591,0.014137,0.819905213
76,  ,internal,0.008411,0.01097,0.766727438
77,Chlorodrepanis virens,terminal,0.002087,0.004068,0.513028515
78,Hemignathus wilsoni,terminal,0.001748,0.003712,0.470905172
79,  ,internal,0.013229,0.016294,0.811893949
80,  ,internal,0.010208,0.017135,0.595739714
81,  ,internal,0.004054,0.003795,1.068247694
82,Motacilla alba,terminal,0.035362,0.038267,0.924086027
83,  ,internal,0.002804,0.002855,0.982136602
84,Passer domesticus,terminal,0.032935,0.036684,0.897802857
85,Hypocryptadius cinnamomeus,terminal,0.024472,0.027751,0.881842096
86,  ,internal,0.005082,0.006179,0.822463182
87,  ,internal,0.00433,0.004013,1.078993272
88,Prunella fulvescens,terminal,0.012634,0.017077,0.739825496
89,Prunella himalayana,terminal,0.010603,0.014761,0.718311767
90,  ,internal,0.021641,0.022155,0.976799819
91,  ,internal,0.001748,0.00182,0.96043956
92,Vidua chalybeata,terminal,0.002743,0.006263,0.437969024
93,Vidua macroura,terminal,0.00224,0.005788,0.387007602
94,  ,internal,0.021169,0.021797,0.971188696
95,Lonchura striata,terminal,0.020165,0.022556,0.893997163
96,Taeniopygia guttata,terminal,0.018747,0.021062,0.890086412
97,  ,internal,0.010174,0.019017,0.534995004
98,  ,internal,0.005443,0.00692,0.786560694
