method,taxa,rtt
caml,G000830275,1.10623063
caml,G000402355,1.229062594
caml,G000830295,1.128747232
caml,G001871415,1.301734696
caml,G001940645,1.384762542
caml,G001940755,1.431309252
caml,G001940725,1.425342699
caml,G001940655,1.403032131
caml,G001563325,1.262543215
caml,G001563335,1.26596062
caml,G001940705,1.237650924
caml,G001515215,1.121127683
caml,G001515205,1.102751626
caml,G001587675,1.299504107
caml,G001587605,1.342189018
caml,G001587595,1.346980294
caml,G001587635,1.347057012
caml,G001587715,1.354341766
caml,G001587655,1.321004153
caml,G001587575,1.311227575
caml,G001587695,1.311309597
caml,G002009975,1.20960009
caml,G000725425,1.209511728
caml,G000517445,1.168869419
caml,G000151105,1.177601852
caml,G001433455,1.168405429
caml,G001317345,1.270381623
caml,G000022545,1.28059241
caml,G001508175,1.330156827
caml,G001508065,1.325840258
caml,G001507935,1.289257764
caml,G000430485,1.26817043
caml,G001484685,1.284151327
caml,G000246985,1.259538271
caml,G000215995,1.239119422
caml,G000007305,1.312204158
caml,G000275605,1.321601619
caml,G000195935,1.361975004
caml,G000211475,1.406829075
caml,G000011105,1.415928922
caml,G000263735,1.347246036
caml,G001577775,1.368017831
caml,G900012635,1.349637341
caml,G000966265,1.207405903
caml,G000018365,1.283910491
caml,G001647085,1.292894834
caml,G900109425,1.247895031
caml,G001418715,1.249991712
caml,G000265525,1.254620983
caml,G000221185,1.2939219
caml,G001484195,1.306229859
caml,G000258515,1.280609453
caml,G000009965,1.300249932
caml,G001592435,1.280578277
caml,G000816105,1.31203149
caml,G000769655,1.312878127
caml,G000585495,1.317778602
caml,G000022365,1.353647309
caml,G000151205,1.319888393
caml,G001774245,1.294902807
caml,G001577155,1.438760081
caml,G001776015,1.335948119
caml,G001775965,1.274333199
caml,G001593865,1.231061423
caml,G002011035,1.202466534
caml,G002009985,1.211769105
caml,G001593925,1.231208246
caml,G001593935,1.203781434
caml,G001273385,1.357716058
caml,G001399795,1.169651466
caml,G001399805,1.209938541
caml,G001775955,1.309580507
caml,G001273495,1.466154811
caml,G001768965,1.282700247
caml,G001920655,1.338981929
caml,G001918765,1.371229952
caml,G001919175,1.372251289
caml,G001918745,1.362126666
caml,G001919285,1.386657835
caml,G001918315,1.530880745
caml,G001920575,1.541602189
caml,G001915065,1.460545125
caml,G001830115,1.262589427
caml,G001870125,1.539374928
caml,G000802205,1.546732629
caml,G000730285,1.386582989
caml,G000698785,1.366342583
caml,G000303155,1.377329595
caml,G001918455,1.461719788
caml,G001917965,1.457948688
caml,G001920395,1.417097193
caml,G001917505,1.39982014
caml,G001918475,1.400846046
caml,G001917995,1.404671543
caml,G000685395,1.462391531
caml,G000955905,1.505760193
caml,G000723185,1.532325849
caml,G000484935,1.618001865
caml,G000399765,1.62043531
caml,G000402075,1.607906072
caml,G001510295,1.670618438
caml,G000812185,1.622479549
caml,G001627075,1.640167566
caml,G001627095,1.632566018
caml,G001627235,1.625030306
caml,G001627015,1.644530989
caml,G001443365,1.487072434
caml,G000200715,1.794410085
caml,G000220175,1.57210935
caml,G000204585,1.584956611
caml,G000241145,1.584336553
caml,G001510275,1.589322183
caml,G000484975,1.60595313
caml,G001541925,1.672608614
caml,G001510225,1.688629909
caml,G001438895,1.702674989
caml,G001437625,1.702281259
caml,G001674955,1.634258638
caml,G000956175,1.627277393
caml,G000242875,1.700399849
caml,G000299395,1.62772547
caml,G000875775,1.644439373
caml,G000328945,1.637104079
caml,G000299365,1.644529481
caml,G000018465,1.654780455
caml,G000724145,1.645541933
caml,G000722915,1.654811117
caml,G000746745,1.65730516
caml,G000746765,1.652960228
caml,G001940665,1.275945706
caml,G001717015,1.280448841
caml,G001717025,1.390279945
caml,G001717005,1.369956211
caml,G001717035,1.361366536
caml,G002011075,1.370472254
caml,G000405685,1.357426076
caml,G000270325,1.329477271
caml,G000019605,1.373089997
caml,G000375685,1.486143659
caml,G000399825,1.446886374
caml,G000402095,1.461108391
caml,G000405885,1.444359102
caml,G000398765,1.467608554
caml,G000494205,1.45357508
caml,G000380705,1.458398827
caml,G000993805,1.411124127
caml,G000015225,1.433186729
caml,G000446015,1.46226453
caml,G000813245,1.449460108
caml,G000960885,1.599910078
caml,G000253055,1.633143076
caml,G000193375,1.612749312
caml,G001516665,1.670194612
caml,G001516655,1.638898045
caml,G000015805,1.593367789
caml,G001189275,1.659712202
caml,G000015205,1.710855415
caml,G000019805,1.716711142
caml,G000007225,1.678969634
caml,G000234805,1.678827781
caml,G000016385,1.670183686
caml,G000247545,1.674710001
caml,G001516585,1.749150551
caml,G000018305,1.629857596
caml,G001516725,1.62599666
caml,G001663375,1.606677893
caml,G001748385,1.556702301
caml,G001515905,1.634534685
caml,G001516745,1.660524628
caml,G001516705,1.643120647
caml,G001316025,1.701260027
caml,G000190315,1.631485181
caml,G001316245,1.646666786
caml,G001316285,1.671089446
caml,G001316005,1.651534764
caml,G001316265,1.707229732
caml,G001315985,1.674116842
caml,G001316125,1.68365404
caml,G001316145,1.690779502
caml,G000148385,1.633939796
caml,G001481685,1.680961071
caml,G000017945,1.652757723
caml,G000145985,1.594806615
caml,G000092465,1.608375361
caml,G000015945,1.60198791
caml,G000264495,1.728217092
caml,G000092185,1.721500751
caml,G000186365,1.754817183
caml,G001006085,1.766087879
caml,G000231015,1.78088628
caml,G000513855,1.784698523
caml,G000020905,1.77205417
caml,G000258425,1.624990492
caml,G000223395,1.653917388
caml,G000015145,1.602356517
caml,G001412615,1.618264832
caml,G001462395,1.64845179
caml,G000011125,1.691059242
caml,G001316065,1.710770447
caml,G000591035,1.689463862
caml,G000317795,1.805712551
caml,G000144915,1.768436852
caml,G000495695,1.813313294
caml,G000495675,1.795962689
caml,G000495715,1.800941695
caml,G000495735,1.802817
caml,G000389735,1.597431631
caml,G000632495,1.774024079
caml,G000213215,1.705339197
caml,G000961135,1.72034747
caml,G000565255,1.720921807
caml,G000243315,1.735622403
caml,G000204925,1.785522926
caml,G001315825,1.808258948
caml,G000747605,1.794474637
caml,G001266655,1.794551006
caml,G001266675,1.794551006
caml,G001266695,1.79454946
caml,G001266715,1.794551556
caml,G001266735,1.794552556
caml,G000016605,1.794552556
caml,G001316045,1.848443352
caml,G001316085,1.825930894
caml,G001719125,1.698564968
caml,G000007005,1.701969975
caml,G900079115,1.701319664
caml,G000175555,1.708286492
caml,G000968395,1.723011283
caml,G000024745,1.727901807
caml,G000968435,1.72294951
caml,G000968355,1.72294951
caml,G000022485,1.726170084
caml,G000022465,1.710096632
caml,G000024305,1.710114124
caml,G000022385,1.708549832
caml,G000189555,1.718606698
caml,G000189575,1.718163586
caml,G000364745,1.719144472
caml,G000022405,1.714359735
caml,G000245095,1.719524987
caml,G000022445,1.725333005
caml,G000245215,1.733926942
caml,G000245155,1.722794947
caml,G000245115,1.723777358
caml,G000245255,1.755279695
caml,G000022425,1.73540463
caml,G000245135,1.74312124
caml,G000245275,1.742367932
caml,G000245195,1.745030369
caml,G000245175,1.739360504
caml,G000245235,1.736780408
caml,G000011205,1.579066056
caml,G001560165,1.67346651
caml,G001560285,1.674985685
caml,G001560275,1.680220776
caml,G001560125,1.680369066
