,Taxon,Branch Type,l1,l2,l1/l2
0,G001824735,terminal,0.187575,0.0020088,93.37664742
1,G001820905,terminal,0.197342,0.001698654,116.1755404
2,  ,internal,0.218728,2.84E-06,77133.68833
3,G001822535,terminal,0.203412,0.006928804,29.35744797
4,  ,internal,0.005153,2.14E-06,2406.032591
5,G001821165,terminal,0.295451,0.001801086,164.0404551
6,  ,internal,0.46097,2.60E-06,177166.6859
7,G001821275,terminal,0.324172,0.010490429,30.90169173
8,  ,internal,0.011658,2.29E-06,5091.052011
9,G001821155,terminal,0.171835,0.002343764,73.31581621
10,  ,internal,0.270951,0.002762612,98.07784424
11,G001004225,terminal,0.114314,0.029730259,3.845038859
12,  ,internal,0.364121,0.133799115,2.721400659
13,G001003605,terminal,0.094092,0.007446213,12.63622261
14,G000999035,terminal,0.093245,0.02504287,3.723415103
15,  ,internal,0.323461,0.101048497,3.201047133
16,  ,internal,0.28147,0.058475479,4.813470658
17,G001820935,terminal,0.144229,0.153488915,0.939670465
18,G001004005,terminal,0.092284,0.188472322,0.489642188
19,  ,internal,0.032491,0.025254904,1.286522396
20,  ,internal,0.426492,0.109686255,3.888290273
21,G001820885,terminal,0.068073,0.005098585,13.35135062
22,G001821135,terminal,0.002494,0.000141924,17.5728102
23,  ,internal,0.003145,2.02E-06,1557.856152
24,G001821305,terminal,0.653364,0.000866586,753.951714
25,  ,internal,0.887773,0.004027321,220.4376006
26,G001822615,terminal,0.046177,0.008016174,5.760478896
27,  ,internal,0.030616,0.004020074,7.615780586
28,G001822765,terminal,0.087337,0.003375745,25.87191788
29,  ,internal,0.341202,0.062733564,5.438906684
30,G001001935,terminal,0.248723,0.136160832,1.826685368
31,  ,internal,0.620128,0.238022982,2.605328252
32,  ,internal,0.175127,0.0445994,3.926667175
33,G001822505,terminal,3.049617,0.010481771,290.9448361
34,G001820955,terminal,3.445053,0.005452011,631.8866561
35,  ,internal,3.236494,1.00E-06,3236494
36,G001821065,terminal,0.462255,0.024912028,18.55549441
37,  ,internal,0.428879,0.002125177,201.8085738
38,G001821185,terminal,0.208493,0.009233677,22.57962914
39,  ,internal,0.801252,0.355737752,2.252367076
40,  ,internal,0.608153,0.021864554,27.81456233
41,G001003165,terminal,0.115864,0.3477417,0.333189836
42,  ,internal,0.020895,0.029248745,0.714389621
43,G001820855,terminal,0,2.58E-06,0
44,G001820985,terminal,0,2.49E-06,0
45,  ,internal,1.00E-06,2.10E-06,0.476780776
46,G001822675,terminal,0.043879,2.74E-06,16014.81806
47,  ,internal,0.637862,0.21951503,2.905778258
48,G001822755,terminal,0.194276,0.017142022,11.33331872
49,G001821245,terminal,0.193423,0.008481925,22.80413966
50,  ,internal,0.757468,0.315797189,2.398590069
51,  ,internal,0.080775,0.055280331,1.461188785
52,G000999175,terminal,0.042321,0.107116124,0.395094581
53,G001822705,terminal,0.066329,0.121313966,0.546754857
54,  ,internal,0.442478,0.217446523,2.034881925
55,  ,internal,0.092559,0.024930099,3.712740972
56,G001821015,terminal,0.093718,0.199055268,0.470813966
57,G001820875,terminal,0.119149,0.219056748,0.543918419
58,  ,internal,0.426638,0.145584961,2.930508746
59,  ,internal,0.043225,0.028160721,1.534939382
60,  ,internal,0.062434,0.01857619,3.360969087
61,G001822595,terminal,0.079335,0.000128068,619.4751074
62,G001821115,terminal,0.083197,2.58E-06,32189.50708
63,  ,internal,0.125938,2.21E-06,57106.96957
64,G001822495,terminal,0.02603,0.004566956,5.699638759
65,  ,internal,0.003303,2.11E-06,1565.848108
66,G001821055,terminal,0.083343,0.00217953,38.23897813
67,  ,internal,0.157828,0.000119031,1325.935845
68,G001822735,terminal,0.105177,0.019555281,5.378444913
69,  ,internal,0.005171,0.000145526,35.533267
70,G001821235,terminal,0.103674,0.002531303,40.95677207
71,  ,internal,0.499819,0.17836101,2.802288466
72,G001189105,terminal,0.067489,0.188514037,0.358005171
73,  ,internal,0.504913,0.210465791,2.399026448
74,  ,internal,0.01288,0.016011969,0.80439827
75,G001821295,terminal,0.40858,2.58E-06,158082.4886
76,G001821035,terminal,0.409375,0.000107152,3820.493055
77,  ,internal,0.560068,2.02E-06,277508.6711
78,G001821215,terminal,0.327084,0.015094922,21.66847912
79,  ,internal,0.021812,2.02E-06,10805.50877
80,G001822555,terminal,0.225441,2.65E-06,85207.12072
81,  ,internal,0.344652,2.02E-06,170865.1034
82,G001820825,terminal,0.102475,0.011148598,9.191738728
83,  ,internal,0.007529,2.70E-06,2788.311977
84,G001822625,terminal,0.121262,2.13E-06,56911.81302
85,  ,internal,0.638514,0.274241793,2.328288455
86,G001822655,terminal,0.425731,0.296239496,1.43711762
87,  ,internal,0.087365,0.082929204,1.053488948
88,  ,internal,0.206971,0.024077249,8.596123217
89,G000996205,terminal,0.382996,0.33086388,1.157563648
90,  ,internal,0.030223,0.020818078,1.451767093
91,G001824295,terminal,1.00E-06,2.58E-06,0.386907065
92,G000994785,terminal,0.003743,0.000145459,25.73230157
93,  ,internal,3.00E-06,2.61E-06,1.151189563
94,G000995155,terminal,0.071342,2.58E-06,27602.72383
95,  ,internal,0.110519,2.44E-06,45216.83987
96,G000998065,terminal,0.008082,2.58E-06,3126.982899
97,G000996185,terminal,0.124068,0.011273928,11.00485977
98,  ,internal,0.011035,2.13E-06,5174.920278
99,  ,internal,0.004627,2.77E-06,1667.687872
100,G000995625,terminal,0.002845,0.00151057,1.883394636
